"","id","date","home_team_score","period","postseason","season","status","time","visitor_team_score","home_team.id","home_team.abbreviation","home_team.city","home_team.conference","home_team.division","home_team.full_name","home_team.name","visitor_team.id","visitor_team.abbreviation","visitor_team.city","visitor_team.conference","visitor_team.division","visitor_team.full_name","visitor_team.name"
"36",30072,"2012-10-31T00:00:00.000Z",95,4,FALSE,2012,"Final"," ",99,19,"NOP","New Orleans","West","Southwest","New Orleans Pelicans","Pelicans",27,"SAS","San Antonio","West","Southwest","San Antonio Spurs","Spurs"
"48",30844,"2012-11-01T00:00:00.000Z",86,4,FALSE,2012,"Final"," ",84,27,"SAS","San Antonio","West","Southwest","San Antonio Spurs","Spurs",21,"OKC","Oklahoma City","West","Northwest","Oklahoma City Thunder","Thunder"
"38",30615,"2012-11-03T00:00:00.000Z",110,4,FALSE,2012,"Final"," ",100,27,"SAS","San Antonio","West","Southwest","San Antonio Spurs","Spurs",29,"UTA","Utah","West","Northwest","Utah Jazz","Jazz"
"39",30616,"2012-11-05T00:00:00.000Z",101,4,FALSE,2012,"Final"," ",79,27,"SAS","San Antonio","West","Southwest","San Antonio Spurs","Spurs",12,"IND","Indiana","East","Central","Indiana Pacers","Pacers"
"62",31393,"2012-11-07T00:00:00.000Z",106,4,FALSE,2012,"Final"," ",84,13,"LAC","LA","West","Pacific","LA Clippers","Clippers",27,"SAS","San Antonio","West","Southwest","San Antonio Spurs","Spurs"
"63",31396,"2012-11-09T00:00:00.000Z",86,4,FALSE,2012,"Final"," ",97,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings",27,"SAS","San Antonio","West","Southwest","San Antonio Spurs","Spurs"
"49",31120,"2012-11-10T00:00:00.000Z",109,4,FALSE,2012,"Final"," ",112,25,"POR","Portland","West","Northwest","Portland Trail Blazers","Trail Blazers",27,"SAS","San Antonio","West","Southwest","San Antonio Spurs","Spurs"
"50",31260,"2012-11-13T00:00:00.000Z",82,4,FALSE,2012,"Final"," ",84,14,"LAL","Los Angeles","West","Pacific","Los Angeles Lakers","Lakers",27,"SAS","San Antonio","West","Southwest","San Antonio Spurs","Spurs"
"65",31668,"2012-11-15T00:00:00.000Z",100,4,FALSE,2012,"Final"," ",104,27,"SAS","San Antonio","West","Southwest","San Antonio Spurs","Spurs",20,"NYK","New York","East","Atlantic","New York Knicks","Knicks"
"66",31797,"2012-11-17T00:00:00.000Z",126,4,FALSE,2012,"Final"," ",100,27,"SAS","San Antonio","West","Southwest","San Antonio Spurs","Spurs",8,"DEN","Denver","West","Northwest","Denver Nuggets","Nuggets"
"51",31265,"2012-11-19T00:00:00.000Z",87,4,FALSE,2012,"Final"," ",92,27,"SAS","San Antonio","West","Southwest","San Antonio Spurs","Spurs",13,"LAC","LA","West","Pacific","LA Clippers","Clippers"
"40",30630,"2012-11-21T00:00:00.000Z",100,4,FALSE,2012,"Final"," ",112,2,"BOS","Boston","East","Atlantic","Boston Celtics","Celtics",27,"SAS","San Antonio","West","Southwest","San Antonio Spurs","Spurs"
"41",30632,"2012-11-23T00:00:00.000Z",97,4,FALSE,2012,"Final"," ",104,12,"IND","Indiana","East","Central","Indiana Pacers","Pacers",27,"SAS","San Antonio","West","Southwest","San Antonio Spurs","Spurs"
"42",30634,"2012-11-25T00:00:00.000Z",106,4,FALSE,2012,"Final"," ",111,28,"TOR","Toronto","East","Atlantic","Toronto Raptors","Raptors",27,"SAS","San Antonio","West","Southwest","San Antonio Spurs","Spurs"
"67",32070,"2012-11-26T00:00:00.000Z",92,4,FALSE,2012,"Final"," ",118,30,"WAS","Washington","East","Southeast","Washington Wizards","Wizards",27,"SAS","San Antonio","West","Southwest","San Antonio Spurs","Spurs"
"37",30095,"2012-11-28T00:00:00.000Z",89,4,FALSE,2012,"Final"," ",110,22,"ORL","Orlando","East","Southeast","Orlando Magic","Magic",27,"SAS","San Antonio","West","Southwest","San Antonio Spurs","Spurs"
"70",32203,"2012-11-29T00:00:00.000Z",105,4,FALSE,2012,"Final"," ",100,16,"MIA","Miami","East","Southeast","Miami Heat","Heat",27,"SAS","San Antonio","West","Southwest","San Antonio Spurs","Spurs"
"64",31415,"2012-12-01T00:00:00.000Z",99,4,FALSE,2012,"Final"," ",95,27,"SAS","San Antonio","West","Southwest","San Antonio Spurs","Spurs",15,"MEM","Memphis","West","Southwest","Memphis Grizzlies","Grizzlies"
