"","Rk","","Age","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","","OWS","DWS","WS","WS/48","","OBPM","DBPM","BPM","VORP"
"1",1,"Al Horford",26,74,2756,19.8,0.56,0.006,0.196,8.2,23,15.7,15.3,1.5,2.2,11.3,21.8,NA,4.7,4.1,8.8,0.153,NA,1.3,0.6,1.9,2.7
"2",2,"Josh Smith",27,76,2683,17.7,0.501,0.17,0.272,5.8,21.3,13.6,20.9,1.8,3.9,14.6,26.7,NA,-0.3,4.5,4.2,0.075,NA,0.3,1.5,1.8,2.5
"3",3,"Jeff Teague",24,80,2628,16.8,0.543,0.255,0.232,1.1,6.7,3.9,36.1,2.3,0.8,17.6,23,NA,3.5,2.6,6.1,0.111,NA,0.9,-0.6,0.3,1.5
"4",4,"Kyle Korver",31,74,2259,13.9,0.637,0.689,0.13,1.2,13.5,7.4,9.9,1.6,1.3,9.9,14.5,NA,4,2.5,6.4,0.137,NA,1.1,0.7,1.8,2.2
"5",5,"Devin Harris",29,58,1421,14.6,0.565,0.519,0.348,0.5,8.7,4.7,21.7,2.3,0.7,14.7,19.5,NA,1.8,1.5,3.3,0.111,NA,-0.5,0.6,0.1,0.8
"6",6,"DeShawn Stevenson",31,56,1158,8.1,0.522,0.798,0.088,1.8,10.1,6,6.5,1.3,0.4,7.8,11.8,NA,0.5,0.9,1.5,0.061,NA,-2,-0.4,-2.4,-0.1
"7",7,"Zaza Pachulia",28,52,1134,13.1,0.534,0.012,0.427,13.5,20.3,17,10.3,1.6,0.8,19.6,14.6,NA,1.2,1.5,2.7,0.116,NA,-2,0.2,-1.7,0.1
"8",8,"Lou Williams",26,39,1119,15.9,0.555,0.442,0.273,0.8,7.3,4.1,20.4,2,0.7,13,23.6,NA,1.4,1,2.4,0.103,NA,1.3,-0.3,1,0.9
"9",9,"Ivan Johnson",28,69,1035,15.7,0.546,0.037,0.368,8.5,20.7,14.7,7.4,2.8,1,14.7,21.7,NA,0.6,1.7,2.3,0.106,NA,-2.3,0.7,-1.6,0.1
"10",10,"Anthony Tolliver",27,62,963,8.4,0.531,0.616,0.236,3.7,14.5,9.2,4.8,0.8,1,13.1,13.2,NA,0.3,0.9,1.2,0.059,NA,-2.5,-0.5,-3.1,-0.3
"11",11,"John Jenkins",21,61,902,13,0.576,0.469,0.238,2.2,9.6,6,9.8,0.7,0.8,11,18.7,NA,1.1,0.6,1.7,0.091,NA,0.4,-1.2,-0.8,0.3
"12",12,"Dahntay Jones",32,28,381,5.4,0.46,0.146,0.378,3.4,5.9,4.7,7.6,1.6,0.2,14.3,13.6,NA,-0.2,0.3,0.1,0.015,NA,-6.2,-0.4,-6.6,-0.4
"13",13,"Mike Scott",24,40,376,16.3,0.533,0.007,0.381,12.1,21.3,16.7,5.4,0.6,0.4,10.9,23.7,NA,0.5,0.4,0.9,0.11,NA,-0.9,-2.6,-3.5,-0.1
"14",14,"Johan Petro",27,31,352,11,0.468,0.036,0.109,10.9,25.3,18.2,7.1,1.5,2,17.2,18.3,NA,-0.2,0.6,0.4,0.048,NA,-4.8,-0.3,-5,-0.3
"15",15,"Anthony Morrow",27,24,301,12.3,0.526,0.342,0.162,3.9,6,4.9,4.8,2.1,0.3,3.3,18.9,NA,0.4,0.3,0.6,0.1,NA,-1.5,0.7,-0.8,0.1
"16",16,"Shelvin Mack",22,20,268,12.3,0.577,0.417,0.167,0,10.1,5.1,26.3,1.7,0,21,19.7,NA,0.1,0.2,0.4,0.068,NA,-2.2,-0.6,-2.8,-0.1
"17",17,"Jannero Pargo",33,7,113,9.7,0.45,0.526,0.053,1,6,3.5,25.4,1.4,0,11.4,18,NA,0,0.1,0.1,0.041,NA,-2,-1.9,-3.9,0
"18",18,"Jeremy Tyler",21,1,5,8.5,NA,NA,NA,0,67.7,34.3,0,0,0,NA,0,NA,0,0,0,0.122,NA,-3.7,0.5,-3.2,0
