"","Rk","","Age","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","","OWS","DWS","WS","WS/48","","OBPM","DBPM","BPM","VORP"
"1",1,"Luol Deng",27,75,2903,15.1,0.508,0.213,0.258,6.3,12.6,9.4,13.2,1.5,0.8,10.6,21.5,NA,3,3.3,6.3,0.105,NA,1,-0.3,0.8,2
"2",2,"Carlos Boozer",31,79,2546,17.1,0.51,0.002,0.232,7.8,27.2,17.4,13.4,1.4,0.8,12.3,25.8,NA,1.4,4.3,5.7,0.108,NA,-0.3,0.2,-0.1,1.2
"3",3,"Joakim Noah",27,66,2426,18.1,0.534,0.008,0.376,12.2,22.6,17.3,17.6,1.7,4.4,19.3,17.2,NA,2.7,4.7,7.3,0.145,NA,0.6,2.7,3.4,3.3
"4",4,"Jimmy Butler",23,82,2134,15.2,0.574,0.205,0.455,7.2,10.4,8.8,8.6,2,1.1,9.2,14.6,NA,4.4,2.6,7,0.158,NA,1,1,2,2.1
"5",5,"Nate Robinson",28,82,2086,17.4,0.54,0.378,0.183,1.6,8.6,5.1,31.4,2.2,0.4,12.6,25.1,NA,3.5,2.4,5.9,0.136,NA,2.5,0.3,2.8,2.5
"6",6,"Marco Belinelli",26,73,1882,10.4,0.513,0.362,0.275,0.8,7.8,4.3,12.9,1.3,0.2,10.7,18.7,NA,1.3,1.6,3,0.076,NA,-1.9,-0.4,-2.3,-0.1
"7",7,"Kirk Hinrich",32,60,1764,10.8,0.493,0.431,0.232,1,9.3,5.1,27.5,1.9,1.1,17.5,14.7,NA,1,2.1,3.1,0.085,NA,-2,1.2,-0.9,0.5
"8",8,"Taj Gibson",27,65,1459,14.4,0.518,0.009,0.297,9.7,17.5,13.6,7.1,1,4.7,13.2,18.1,NA,1,2.3,3.3,0.109,NA,-2.1,1,-1.1,0.3
"9",9,"Richard Hamilton",34,50,1088,10.6,0.481,0.109,0.162,1.7,7.2,4.4,19.9,1.2,0.3,14.2,25,NA,-0.6,0.9,0.4,0.016,NA,-2.8,-1.2,-4,-0.6
"10",10,"Nazr Mohammed",35,63,693,10.8,0.414,0.011,0.261,12,20.4,16.2,5.8,1.6,3.5,10.7,14.9,NA,0,1.2,1.2,0.082,NA,-4.1,0.6,-3.6,-0.3
"11",11,"Marquis Teague",19,48,392,6,0.412,0.204,0.142,0.9,12.1,6.4,25.6,1.2,1.3,22.6,18.2,NA,-0.7,0.4,-0.3,-0.031,NA,-5.5,0,-5.6,-0.4
"12",12,"Daequan Cook",25,33,276,4,0.366,0.565,0.083,0.8,17.3,8.9,5.2,0.4,1.4,7.4,20.1,NA,-0.6,0.3,-0.3,-0.048,NA,-4.8,-2,-6.8,-0.3
"13",13,"Vladimir Radmanović",32,25,144,6.3,0.372,0.628,0.07,7.9,14.5,11.2,8.6,3,2.1,13.6,16.4,NA,-0.2,0.3,0.1,0.02,NA,-6.6,1.2,-5.4,-0.1
"14",14,"Malcolm Thomas",24,7,36,16.7,0.558,0,0.444,15.8,19.4,17.5,9.3,3,2.1,15.7,16.3,NA,0.1,0.1,0.1,0.166,NA,-1.7,2,0.2,0
"15",15,"Lou Amundson",30,1,2,0,0,0,0,56.7,0,28.7,0,0,0,0,23,NA,0,0,0,-0.274,NA,-4.7,-18.2,-22.8,0
