"","Rk","","Age","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","","OWS","DWS","WS","WS/48","","OBPM","DBPM","BPM","VORP"
"1",1,"Tristan Thompson",21,82,2564,16.1,0.516,0.004,0.364,13.2,22.1,17.5,6.9,1.2,2.2,11.7,18.3,NA,3.2,2,5.2,0.098,NA,-0.2,-1.6,-1.8,0.1
"2",2,"Alonzo Gee",25,82,2541,10.5,0.505,0.294,0.276,3.3,11.7,7.3,8.2,2.2,0.9,13.7,16.9,NA,0.5,1.5,1.9,0.036,NA,-2.2,-0.3,-2.6,-0.4
"3",3,"Kyrie Irving",20,59,2048,21.4,0.553,0.261,0.271,1.8,10.8,6.1,32.7,2.3,0.8,13.8,30.2,NA,4.2,1.1,5.3,0.125,NA,4.3,-0.7,3.7,3
"4",4,"Tyler Zeller",23,77,2033,11,0.486,0.007,0.281,8.7,16.7,12.5,7.4,0.9,2.8,13.1,15.9,NA,0.8,1.2,2,0.048,NA,-3.1,-0.9,-4,-1
"5",5,"Dion Waiters",21,61,1756,13.7,0.492,0.249,0.261,1.4,8.8,4.9,18.4,1.7,0.7,11.8,26.1,NA,0.3,0.6,0.9,0.026,NA,-0.4,-1.8,-2.1,-0.1
"6",6,"C.J. Miles",25,65,1364,15.3,0.551,0.534,0.174,1.9,13.4,7.4,8.1,1.9,1,9.5,23.9,NA,1.8,0.8,2.6,0.092,NA,2,-0.9,1.1,1.1
"7",7,"Shaun Livingston",27,49,1135,14.6,0.559,0.004,0.296,2.8,9.8,6.2,24.6,1.7,2.1,15.7,14.7,NA,1.9,0.6,2.4,0.102,NA,-0.3,0.1,-0.2,0.5
"8",8,"Wayne Ellington",25,38,985,13.9,0.556,0.433,0.179,2.2,11.6,6.7,10.3,1.5,0.2,8.5,17.6,NA,1.6,0.3,1.9,0.093,NA,0.7,-1.2,-0.5,0.4
"9",9,"Daniel Gibson",26,46,919,7.7,0.475,0.66,0.15,0.6,7.3,3.8,13.4,1.7,0.4,10.5,14.3,NA,0.3,0.2,0.5,0.026,NA,-2.8,-0.6,-3.4,-0.3
"10",10,"Anderson Varejão",30,25,901,21.7,0.529,0.017,0.353,16.9,30.1,23.2,15.4,2.1,1.3,11.6,18.7,NA,2.2,1.1,3.3,0.173,NA,3.8,-0.1,3.7,1.3
"11",11,"Luke Walton",32,50,857,11.3,0.453,0.37,0.11,4.9,15.2,9.8,28.7,2.5,1.2,24,13,NA,0.1,0.7,0.8,0.045,NA,-1.9,0.9,-1,0.2
"12",12,"Marreese Speights",25,39,721,18.2,0.515,0.015,0.32,10.7,21.4,15.8,7.4,1,2.9,10.5,26.6,NA,0.9,0.6,1.4,0.094,NA,-0.7,-2.3,-3.1,-0.2
"13",13,"Omri Casspi",24,43,503,12.9,0.486,0.475,0.256,4.4,22.7,13.1,8.8,2.6,1.9,11,17.7,NA,0.1,0.6,0.7,0.064,NA,-0.8,0.7,-0.1,0.2
"14",14,"Jeremy Pargo",26,25,447,11.3,0.478,0.305,0.219,1.7,6.8,4.1,24.2,1.4,0.4,15.3,24.1,NA,-0.1,0.1,-0.1,-0.006,NA,-0.7,-1.9,-2.7,-0.1
"15",15,"Kevin Jones",23,32,334,11.1,0.418,0,0.14,12.6,14.5,13.5,4.8,1.4,1.2,6.6,16.2,NA,0.1,0.2,0.2,0.032,NA,-1.9,-2.2,-4.1,-0.2
"16",16,"Donald Sloan",25,20,257,9.9,0.455,0.244,0.321,1.3,11.8,6.3,22,1,0,12.7,17.7,NA,0.1,0,0.1,0.022,NA,-1.7,-1.2,-2.9,-0.1
"17",17,"Samardo Samuels",24,18,196,6.2,0.411,0.017,0.4,5.6,11.2,8.3,6.3,0.8,1.2,7.8,17.4,NA,-0.1,0,-0.1,-0.016,NA,-4.6,-1.6,-6.2,-0.2
"18",18,"Jon Leuer",23,9,91,3.3,0.359,0.107,0.214,6.1,10.7,8.3,8.5,1.1,0,14,17.5,NA,-0.2,0,-0.2,-0.092,NA,-6.5,-2.7,-9.3,-0.2
"19",19,"Chris Quinn",29,7,78,1.3,0.296,0.313,0.125,1.4,1.6,1.5,16.3,2,0,26.2,13.1,NA,-0.2,0,-0.2,-0.124,NA,-7.2,-1.9,-9.2,-0.1
