"","Rk","","Age","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","","OWS","DWS","WS","WS/48","","OBPM","DBPM","BPM","VORP"
"1",1,"O.J. Mayo",25,82,2913,13.9,0.556,0.34,0.227,1.4,9.6,5.6,19.4,1.6,0.6,15.7,20.9,NA,2.3,1.8,4.2,0.069,NA,0.1,-0.6,-0.5,1.1
"2",2,"Darren Collison",25,81,2372,16.3,0.575,0.188,0.38,1.5,8.7,5.1,26.8,2.2,0.3,17,19.6,NA,4,1.7,5.6,0.114,NA,0.4,-0.3,0.1,1.3
"3",3,"Vince Carter",36,81,2093,17.8,0.571,0.467,0.261,3.1,14.4,8.9,15,1.8,1.6,10,23.1,NA,3.9,2,6,0.137,NA,2.7,0.3,3.1,2.6
"4",4,"Shawn Marion",34,67,2010,18,0.553,0.106,0.146,8.2,20.6,14.5,13.1,1.9,1.8,12.3,19,NA,2.9,2.5,5.3,0.127,NA,1.6,0.6,2.2,2.1
"5",5,"Dirk Nowitzki",34,53,1661,19.8,0.564,0.216,0.265,2.5,21.5,12.2,13.5,1.2,1.7,7.9,24.2,NA,3.3,1.8,5,0.145,NA,3,0.1,3.1,2.2
"6",6,"Elton Brand",33,72,1527,15.2,0.499,0.002,0.195,9.7,21.5,15.7,7.1,1.7,4.6,9.9,17.2,NA,1.2,2.2,3.4,0.107,NA,-1.7,0.9,-0.9,0.4
"7",7,"Chris Kaman",30,66,1363,16.3,0.529,0.002,0.138,8.1,22.1,15.2,6.6,1.1,3,13.6,25.3,NA,0,1.6,1.6,0.058,NA,-1.5,-0.8,-2.4,-0.1
"8",8,"Jae Crowder",22,78,1353,10.2,0.491,0.523,0.199,2.9,12.3,7.7,10,2.4,1,10.9,15.1,NA,0.2,1.3,1.5,0.055,NA,-1.9,0.9,-1,0.3
"9",9,"Brandan Wright",25,64,1149,21,0.606,0.007,0.238,8.4,16.7,12.6,5.6,1.2,5.2,7.1,19,NA,2.8,1.3,4.1,0.172,NA,2.1,0.4,2.5,1.3
"10",10,"Mike James",37,45,862,9.5,0.481,0.461,0.107,1.2,8,4.7,23.7,1.5,0.3,16.2,17.9,NA,0,0.5,0.4,0.024,NA,-2.5,-1,-3.5,-0.3
"11",11,"Dahntay Jones",32,50,635,6.9,0.494,0.264,0.586,2.3,9.8,6.1,6.1,0.8,0.6,11.1,14.2,NA,0.2,0.3,0.4,0.033,NA,-4,-0.8,-4.8,-0.4
"12",12,"Rodrigue Beaubois",24,45,549,10.6,0.47,0.409,0.216,1.9,9.6,5.8,22.6,1.8,0.6,14.6,18.7,NA,0,0.4,0.4,0.032,NA,-2.3,-0.3,-2.6,-0.1
"13",13,"Bernard James",27,46,457,14.7,0.541,0.019,0.398,12.9,18.9,16,1.9,1.3,6.5,12.9,13.9,NA,0.5,0.7,1.2,0.125,NA,-2.4,0.7,-1.6,0
"14",14,"Dominique Jones",24,29,338,12.4,0.438,0.083,0.486,6,8.7,7.4,36.2,2.1,0.5,22.3,23,NA,-0.2,0.2,0,0.001,NA,-1.7,-1.8,-3.4,-0.1
"15",15,"Troy Murphy",32,14,256,9.1,0.494,0.574,0.18,3.1,17.9,10.7,3.8,2,1.8,9.6,13,NA,0,0.3,0.3,0.062,NA,-2.7,0.8,-1.9,0
"16",16,"Derek Fisher",38,9,229,8.7,0.513,0.354,0.354,0,7.2,3.6,19.5,1.1,0.7,19.3,18.5,NA,0,0.1,0.1,0.016,NA,-2.9,-0.8,-3.7,-0.1
"17",17,"Anthony Morrow",27,17,82,10.9,0.545,0.147,0.118,1.4,4,2.7,8.3,0.6,0,10.1,22.1,NA,0,0,0,0.028,NA,-3.3,-2.4,-5.7,-0.1
"18",18,"Chris Douglas-Roberts",26,6,63,8.3,0.462,0.286,0.714,0,8.7,4.4,8.9,1.6,0,5.2,14,NA,0,0,0.1,0.041,NA,-3.9,0.2,-3.8,0
"19",19,"Jared Cunningham",21,8,26,14.8,0.538,0.214,0.143,4.4,8.4,6.4,6.8,2,0,11.8,29.6,NA,0,0,0,0.033,NA,0.4,-1.9,-1.5,0
"20",20,"Eddy Curry",30,2,25,-0.2,0.461,0,0.5,9.1,8.7,8.9,0,0,0,23.5,23.3,NA,-0.1,0,-0.1,-0.146,NA,-11.2,-3.7,-14.9,-0.1
"21",21,"Josh Akognon",26,3,9,15.3,0.625,0.5,0,0,12.1,6.2,19.4,0,0,0,20.3,NA,0,0,0,0.196,NA,-3.1,0.1,-3,0
"22",22,"Justin Dentmon",27,2,4,-19.4,0,0,0,0,0,0,0,0,0,0,22.8,NA,0,0,0,-0.571,NA,-15.7,-8.9,-24.7,0
"23",23,"Chris Wright",23,3,4,-1.9,0.5,0,0,0,0,0,0,0,0,33.3,34.2,NA,0,0,0,-0.375,NA,-10.8,-8.5,-19.2,0
