"","Rk","","Age","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","","OWS","DWS","WS","WS/48","","OBPM","DBPM","BPM","VORP"
"1",1,"Andre Iguodala",29,80,2779,15.2,0.52,0.327,0.307,3.4,13.5,8.5,22.4,2.5,1.5,17.1,18.8,NA,2.4,3.2,5.6,0.097,NA,1.2,1.4,2.6,3.3
"2",2,"Ty Lawson",25,73,2513,17.9,0.549,0.239,0.32,1.6,7.1,4.4,30.2,2.1,0.2,14.1,22.3,NA,5.6,1.8,7.4,0.141,NA,2.5,-0.5,2,2.5
"3",3,"Danilo Gallinari",24,71,2309,16.7,0.561,0.416,0.4,3.2,14.4,8.9,11.2,1.4,1.2,9.8,21.3,NA,5.2,2,7.2,0.151,NA,2.9,-0.1,2.8,2.8
"4",4,"Kenneth Faried",23,80,2248,18.5,0.573,0,0.386,13.2,23.2,18.3,5.1,1.8,2.9,12.3,17.7,NA,4.5,3.4,7.8,0.167,NA,0.9,0.2,1.1,1.7
"5",5,"Andre Miller",36,82,2151,15.7,0.548,0.101,0.307,3.2,9.1,6.2,32.2,1.7,0.4,19.3,17.9,NA,3.9,1.5,5.4,0.12,NA,1.1,-0.2,0.9,1.6
"6",6,"Corey Brewer",26,82,2003,14.7,0.506,0.348,0.245,3.1,9.9,6.6,9.5,3,0.9,9.4,23.4,NA,1.7,2.2,3.9,0.093,NA,-0.2,0.6,0.4,1.2
"7",7,"Kosta Koufos",23,81,1817,17.2,0.585,0.002,0.205,13.3,21.2,17.3,2.6,1.2,4.4,8.7,14.5,NA,3.9,2.5,6.5,0.171,NA,0.2,0.4,0.6,1.2
"8",8,"JaVale McGee",25,79,1433,20.7,0.589,0.002,0.353,12.6,17.1,14.9,2.7,1.1,8.5,12.9,21.1,NA,2.7,2.2,4.9,0.163,NA,0.4,1.2,1.6,1.3
"9",9,"Wilson Chandler",25,43,1079,16.6,0.556,0.277,0.244,4.8,17.6,11.3,8.3,2.1,0.9,10.6,22.7,NA,1.8,1.3,3.1,0.137,NA,0.7,-0.1,0.5,0.7
"10",10,"Evan Fournier",20,38,428,13.8,0.597,0.355,0.257,1.6,7.4,4.6,15.5,2.2,0.2,15.9,20.4,NA,0.7,0.3,1,0.115,NA,-1.3,0,-1.4,0.1
"11",11,"Jordan Hamilton",22,40,397,16.9,0.49,0.363,0.129,9.2,17.4,13.4,9.2,1.9,1.6,8.2,25.3,NA,0.4,0.5,0.8,0.1,NA,2.1,-1.2,0.9,0.3
"12",12,"Timofey Mozgov",26,41,366,12.3,0.549,0.023,0.299,15.6,17.1,16.4,3.4,0.8,3.8,20.3,14.6,NA,0.3,0.4,0.7,0.096,NA,-2.8,-1,-3.7,-0.2
"13",13,"Anthony Randolph",23,39,329,15.6,0.534,0.07,0.395,10.1,22.1,16.2,5.5,2.9,5,21.7,22.5,NA,-0.1,0.6,0.5,0.073,NA,-3.6,0.7,-2.9,-0.1
"14",14,"Julyan Stone",24,4,28,11.4,0.931,0,2,8.2,3.9,6,9.3,1.8,0,34.7,8.9,NA,0.1,0,0.1,0.128,NA,-2,1.9,-0.1,0
"15",15,"Quincy Miller",20,7,26,5.9,0.349,0.083,0.167,4.4,4.2,4.3,16.8,1.9,0,7.2,23.1,NA,0,0,0,-0.051,NA,-6.6,-2.5,-9.2,0
