"","Rk","","Age","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","","OWS","DWS","WS","WS/48","","OBPM","DBPM","BPM","VORP"
"1",1,"Stephen Curry",24,78,2983,21.3,0.589,0.432,0.21,2.3,9.1,5.8,31.1,2.1,0.3,13.7,26.4,NA,8.4,2.8,11.2,0.18,NA,5.3,0.1,5.4,5.6
"2",2,"Klay Thompson",22,82,2936,12.7,0.533,0.437,0.13,1.2,10,5.7,10.1,1.5,1.2,11,21.8,NA,1.7,2.6,4.3,0.07,NA,-0.1,-0.2,-0.3,1.3
"3",3,"David Lee",29,79,2907,19.2,0.561,0.003,0.276,8.5,24.5,16.8,16.5,1.2,0.6,13.7,23.2,NA,5.4,3.7,9.1,0.15,NA,1.4,0.4,1.8,2.8
"4",4,"Jarrett Jack",29,79,2349,15.9,0.542,0.237,0.231,1,10.1,5.7,29.9,1.3,0.4,14.3,21,NA,3.9,1.8,5.6,0.115,NA,1.1,-0.6,0.5,1.4
"5",5,"Harrison Barnes",20,81,2058,11,0.526,0.231,0.303,2.9,14.5,8.9,7.3,1.3,0.5,12.4,17.7,NA,0.9,1.9,2.8,0.065,NA,-1.6,-0.1,-1.7,0.1
"6",6,"Carl Landry",29,81,1876,17.5,0.605,0.005,0.453,10.9,17.3,14.2,5.6,0.9,1.3,13.7,20,NA,4.3,1.9,6.2,0.159,NA,0.5,-0.7,-0.2,0.8
"7",7,"Festus Ezeli",23,78,1120,9.3,0.467,0,0.479,14.3,16.4,15.4,2.7,1,5.2,23.5,10.7,NA,0,1.5,1.5,0.066,NA,-4,0.7,-3.4,-0.4
"8",8,"Draymond Green",22,79,1061,7.1,0.404,0.261,0.214,6.2,20.3,13.5,7,2,1.8,15.4,14,NA,-0.9,1.6,0.6,0.028,NA,-5,1.4,-3.6,-0.4
"9",9,"Andrew Bogut",28,32,786,13.8,0.463,0.005,0.207,9.8,24.1,17.2,12.5,1.3,5.5,14.8,13.4,NA,0.4,1.4,1.7,0.106,NA,-1.4,2.8,1.4,0.7
"10",10,"Richard Jefferson",32,56,568,10.3,0.552,0.331,0.39,1,14.9,8.1,8,1.3,1,12.6,14.4,NA,0.4,0.6,1,0.081,NA,-1.8,0.6,-1.3,0.1
"11",11,"Andris Biedriņš",26,53,495,7.7,0.449,0,0.619,7.8,25.7,17,3.7,1.5,6.6,34.4,3.7,NA,0.1,1,1.1,0.102,NA,-4.8,3.8,-1,0.1
"12",12,"Charles Jenkins",23,47,291,6.9,0.445,0.024,0.217,2,5.9,4,14.4,1.6,0.3,17.3,16.9,NA,-0.3,0.2,-0.1,-0.018,NA,-4.8,-0.7,-5.4,-0.3
"13",13,"Kent Bazemore",23,61,267,11.3,0.454,0.293,0.379,2.1,6.8,4.5,13.1,3.2,1.2,11.7,25.7,NA,-0.3,0.3,0.1,0.014,NA,-3.1,0.7,-2.4,0
"14",14,"Jeremy Tyler",21,20,63,6.1,0.413,0,0.25,10.8,18.7,14.9,2.5,0.8,2.5,18.4,23.2,NA,-0.2,0.1,-0.1,-0.063,NA,-7.6,-1.8,-9.4,-0.1
"15",15,"Brandon Rush",27,2,25,11.9,0.678,0.222,0.333,0,4.3,2.2,14.5,0,0,22.5,23.9,NA,0,0,0,0.051,NA,-2.7,1.7,-1,0
"16",16,"Malcolm Thomas",24,5,21,8.8,0.543,0,4,0,25.4,13.1,12.1,0,3.7,26.6,8,NA,0,0,0,0.077,NA,-2.2,2.6,0.4,0
