"","Rk","","Age","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","","OWS","DWS","WS","WS/48","","OBPM","DBPM","BPM","VORP"
"1",1,"Paul George",22,79,2972,16.8,0.531,0.399,0.233,3.4,19,11.3,19.6,2.6,1.3,15.2,23.5,NA,2.7,6.3,9,0.145,NA,1.5,2.3,3.8,4.4
"2",2,"George Hill",26,76,2620,16.6,0.558,0.405,0.245,2,9.9,6,23.4,1.6,0.7,10.7,18.8,NA,5.9,3.8,9.7,0.177,NA,2.2,1.1,3.3,3.5
"3",3,"David West",32,73,2435,20.1,0.545,0.019,0.312,6.8,18.8,12.9,16.8,1.6,2.1,12,24.4,NA,4.4,4.7,9.1,0.179,NA,2.4,1.5,4,3.7
"4",4,"Lance Stephenson",22,78,2278,11.8,0.53,0.314,0.192,2.3,12.3,7.4,16.2,1.9,0.5,14.4,15.2,NA,1.8,3.6,5.5,0.115,NA,-1.7,1.7,0,1.2
"5",5,"Roy Hibbert",26,79,2269,17.3,0.489,0.005,0.261,14.8,17.4,16.1,8.9,0.9,6.7,14.5,22.5,NA,1.3,4.9,6.1,0.129,NA,-1.7,1.4,-0.3,0.9
"6",6,"Tyler Hansbrough",27,81,1366,15.3,0.527,0.007,0.737,13.4,17,15.2,4.4,1.1,1,12.6,20.6,NA,2.1,2.2,4.4,0.154,NA,-1.3,-0.7,-1.9,0
"7",7,"Ian Mahinmi",26,80,1322,10.6,0.497,0.006,0.52,9.9,16.2,13.1,3.3,1.6,3.7,18.5,17.1,NA,-0.4,2.6,2.3,0.083,NA,-4.7,1.4,-3.4,-0.5
"8",8,"D.J. Augustin",25,76,1226,11,0.527,0.646,0.337,1.9,6.3,4.1,21.6,1.5,0.2,16.8,15.1,NA,1.4,1.5,2.8,0.112,NA,-0.7,0.1,-0.6,0.5
"9",9,"Gerald Green",27,60,1080,9.9,0.465,0.443,0.153,3.3,11.1,7.3,7.9,0.9,1.6,10.5,21.3,NA,-0.3,1.5,1.3,0.056,NA,-1.6,-0.3,-1.9,0
"10",10,"Sam Young",27,56,693,7.5,0.464,0.351,0.291,4.3,15.3,9.9,9.4,1.2,0.9,16.5,13.2,NA,-0.2,1.1,0.9,0.062,NA,-3.5,0.8,-2.7,-0.1
"11",11,"Orlando Johnson",23,51,619,11.4,0.523,0.522,0.178,3.7,15.9,9.9,12.5,0.9,1.1,13,16.4,NA,0.5,1,1.5,0.115,NA,-0.5,0.7,0.2,0.3
"12",12,"Jeff Ayres",25,37,369,14.5,0.533,0.032,0.183,8.9,22.2,15.7,7.2,0.9,2.4,14.5,19.7,NA,0.3,0.7,1,0.129,NA,-1.9,0.9,-1,0.1
"13",13,"Ben Hansbrough",25,28,200,7.2,0.501,0.511,0.6,1.1,8.8,5,16.1,1.9,0.7,24,17.1,NA,-0.1,0.3,0.2,0.044,NA,-5.2,1,-4.2,-0.1
"14",14,"Danny Granger",29,5,74,4,0.35,0.286,0.229,4.6,8.9,6.8,6.9,1.4,1,9.4,26.2,NA,-0.2,0.1,-0.1,-0.075,NA,-6.3,-2.4,-8.7,-0.1
"15",15,"Miles Plumlee",24,14,55,8.8,0.286,0,0.19,24.8,19.9,22.3,5.7,0,4,11.6,21.4,NA,-0.1,0.1,0,-0.015,NA,-5,-2.9,-7.8,-0.1
"16",16,"Dominic McGuire",27,2,12,-6,0,0,0.667,9.5,9.1,9.3,11.5,0,0,0,14.7,NA,-0.1,0,-0.1,-0.239,NA,-9.1,-5.1,-14.2,0
