"","Rk","","Age","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","","OWS","DWS","WS","WS/48","","OBPM","DBPM","BPM","VORP"
"1",1,"Kobe Bryant",34,78,3013,23,0.57,0.255,0.392,2.5,13.1,7.9,29.7,1.8,0.6,13.3,31.9,NA,8.4,2.6,10.9,0.174,NA,4.7,-0.1,4.6,5
"2",2,"Dwight Howard",27,76,2722,19.4,0.573,0.007,0.887,10.4,27.4,19.1,6.6,1.6,4.9,16.6,22.2,NA,2.8,4.8,7.6,0.134,NA,-0.6,1.1,0.6,1.8
"3",3,"Metta World Peace",33,75,2530,12.5,0.517,0.5,0.205,4.5,11.5,8.1,6.9,2.5,1.2,9.8,17.5,NA,1.9,2.6,4.6,0.086,NA,-0.5,0.9,0.4,1.5
"4",4,"Jodie Meeks",25,78,1663,11.4,0.54,0.645,0.181,2.5,8.7,5.7,6.4,1.8,0.2,8.3,16.7,NA,1.9,1.1,3,0.085,NA,-0.7,-0.3,-1,0.4
"5",5,"Pau Gasol",32,49,1655,16.7,0.512,0.048,0.307,7.6,20.1,14,19.9,0.7,2.7,13.7,20.5,NA,2,1.7,3.7,0.107,NA,1.1,0.9,2,1.7
"6",6,"Antawn Jamison",36,76,1636,15.3,0.561,0.405,0.237,7.5,16.6,12.2,5,0.9,1,7.7,18.7,NA,3,1.3,4.3,0.126,NA,1,-1.1,-0.1,0.8
"7",7,"Steve Nash",38,50,1627,16,0.605,0.274,0.244,1.8,7.7,4.8,32.8,0.9,0.2,19.3,17.8,NA,3.7,0.6,4.3,0.127,NA,1.8,-1.4,0.4,1
"8",8,"Earl Clark",25,59,1363,12.4,0.51,0.269,0.197,6.8,19.1,13.1,7.4,1.3,2.3,12.9,15.7,NA,0.7,1.5,2.3,0.08,NA,-1.2,0.5,-0.7,0.4
"9",9,"Steve Blake",32,45,1175,11.7,0.573,0.633,0.13,2,10.1,6.2,21.9,1.5,0.4,17.8,13.2,NA,1.6,0.8,2.4,0.097,NA,0.1,0.4,0.5,0.7
"10",10,"Chris Duhon",30,46,820,8,0.517,0.74,0.106,1.5,7.5,4.6,22.8,1.2,0.1,23.7,9.2,NA,0.6,0.4,1,0.056,NA,-2.4,-0.5,-2.9,-0.2
"11",11,"Darius Morris",22,48,683,8.1,0.475,0.351,0.197,4,5.2,4.6,16.8,1.6,0.2,18.1,16.2,NA,-0.1,0.3,0.2,0.016,NA,-3.3,-0.9,-4.2,-0.4
"12",12,"Jordan Hill",25,29,458,18.5,0.533,0.013,0.394,20.3,19.7,20,4.7,0.9,3,12.5,20.2,NA,0.9,0.5,1.4,0.147,NA,-0.1,-1.6,-1.6,0
"13",13,"Robert Sacre",23,32,203,3.4,0.407,0,0.229,5,13.2,9.2,4.3,0,3.6,15.9,13.8,NA,-0.2,0.1,-0.1,-0.024,NA,-8,-0.7,-8.8,-0.4
"14",14,"Devin Ebanks",23,19,197,6.3,0.411,0.301,0.192,5.7,16.9,11.5,7.8,0.8,0.4,12.2,20.4,NA,-0.2,0.1,-0.1,-0.025,NA,-5.3,-2.5,-7.7,-0.3
"15",15,"Andrew Goudelock",24,1,6,-6.4,0,0,0,18.9,0,9.2,0,0,0,0,14.8,NA,0,0,0,-0.264,NA,-9.7,-6.2,-15.9,0
"16",16,"Darius Johnson-Odom",23,4,6,-6.7,0,0.25,0,18.9,53.7,36.7,21.7,0,0,0,29.7,NA,-0.1,0,-0.1,-0.439,NA,-15,-6,-21,0
