"","Rk","","Age","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","","OWS","DWS","WS","WS/48","","OBPM","DBPM","BPM","VORP"
"1",1,"Marc Gasol",28,80,2796,19.5,0.559,0.016,0.364,7.6,18.9,13.1,19.1,1.6,4.1,13.5,19.2,NA,6.1,5.4,11.5,0.197,NA,2.1,3.1,5.2,5.1
"2",2,"Mike Conley",25,80,2757,18.3,0.549,0.312,0.3,1.8,7.9,4.8,29.5,3.4,0.7,15.1,21,NA,5.1,4.7,9.9,0.172,NA,2.3,2.3,4.6,4.6
"3",3,"Zach Randolph",31,76,2607,17.9,0.506,0.022,0.293,13.8,25.1,19.3,7.3,1.3,1,11.5,23.1,NA,3.2,4.7,7.9,0.145,NA,1,-0.7,0.2,1.5
"4",4,"Tony Allen",31,79,2109,13.2,0.489,0.038,0.293,6.6,13.8,10.2,7.6,3.1,1.7,11.5,17.8,NA,1,4.1,5.1,0.115,NA,-2,2.4,0.4,1.2
"5",5,"Jerryd Bayless",24,80,1765,13.5,0.514,0.324,0.196,1.4,10.5,5.9,24.9,1.8,0.8,15.1,20.8,NA,1.5,2.5,4,0.108,NA,-0.6,0.7,0.1,1
"6",6,"Rudy Gay",26,42,1541,14.1,0.478,0.188,0.227,4.2,15.1,9.5,12.4,2,1.7,12.1,25.7,NA,-0.2,2.6,2.4,0.075,NA,-0.2,0.7,0.5,0.9
"7",7,"Quincy Pondexter",24,59,1243,11,0.565,0.508,0.251,4,8.6,6.3,7.6,1.5,0.4,11.2,13.9,NA,1.7,1.5,3.2,0.125,NA,-0.8,0.6,-0.1,0.6
"8",8,"Tayshaun Prince",32,37,1174,10.2,0.461,0.122,0.11,2.9,12.9,7.8,11.6,1.2,0.8,9,15.2,NA,0.3,1.6,1.8,0.075,NA,-1.6,0.7,-0.9,0.3
"9",9,"Darrell Arthur",24,59,970,11.8,0.477,0.05,0.128,8.1,12.5,10.3,5.9,1.3,2.8,10.2,20.1,NA,0.2,1.5,1.7,0.084,NA,-2.8,0.4,-2.4,-0.1
"10",10,"Wayne Ellington",25,40,676,9.8,0.529,0.487,0.08,0.9,8.4,4.5,9.9,1.3,0.1,10.4,15.7,NA,0.6,0.8,1.3,0.094,NA,-1.1,0.5,-0.6,0.2
"11",11,"Marreese Speights",25,40,579,16.1,0.474,0.02,0.271,15.2,23.5,19.3,5.5,0.9,3.8,11.2,24.8,NA,0.3,1.1,1.4,0.116,NA,-2,-0.3,-2.4,0
"12",12,"Ed Davis",23,36,544,17.2,0.539,0,0.455,12.1,22.8,17.4,2.4,1.3,7.1,9.5,16.1,NA,0.8,1.2,2.1,0.183,NA,-2,1.9,-0.1,0.3
"13",13,"Austin Daye",24,31,328,13.3,0.529,0.523,0.144,2.1,19.8,10.8,10.6,1.5,3.5,11.9,18.8,NA,0.2,0.6,0.9,0.127,NA,-0.7,1.9,1.1,0.3
"14",14,"Tony Wroten",19,35,272,9.3,0.461,0.186,0.337,5.5,6.6,6.1,25.2,1.6,1.2,22.7,21.7,NA,-0.2,0.3,0.1,0.017,NA,-3.5,-0.2,-3.8,-0.1
"15",15,"Chris Johnson",22,8,102,10.7,0.56,0.72,0.08,5.7,7.1,6.4,3.1,2.1,0,10.4,13.1,NA,0.1,0.1,0.2,0.112,NA,-0.1,0.6,0.5,0.1
"16",16,"Jon Leuer",23,19,96,17.2,0.628,0,0.292,9.7,20.1,14.8,5.3,2.3,0,10,14.4,NA,0.2,0.2,0.4,0.198,NA,-0.2,1.3,1,0.1
"17",17,"Hamed Haddadi",27,13,87,7.4,0.343,0,0.095,13.3,19.4,16.3,6.9,0.6,5.7,15.5,13.7,NA,-0.1,0.2,0.1,0.039,NA,-6.1,0.8,-5.3,-0.1
"18",18,"Keyon Dooling",32,7,82,11.2,0.644,0.571,0.333,0,1.5,0.7,15.6,0.7,0,17.2,16.4,NA,0.2,0.1,0.2,0.128,NA,-1.2,-0.2,-1.4,0
"19",19,"Josh Selby",21,10,59,0.1,0.373,0.273,0.5,0,10.2,5,10.5,1.8,0,20.7,26.4,NA,-0.3,0.1,-0.2,-0.143,NA,-10.1,-2.3,-12.4,-0.2
"20",20,"Dexter Pittman",24,7,20,-7.7,0.137,0,0.5,17.4,12,14.8,0,0,0,12,19.2,NA,-0.1,0,-0.1,-0.239,NA,-15.9,-7.4,-23.2,-0.1
