"","Rk","","Age","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","","OWS","DWS","WS","WS/48","","OBPM","DBPM","BPM","VORP"
"1",1,"LeBron James",28,76,2877,31.6,0.64,0.188,0.395,4.4,20.8,13.1,36.4,2.4,1.9,12.4,30.2,NA,14.6,4.7,19.3,0.322,NA,9.3,2.4,11.7,9.9
"2",2,"Chris Bosh",28,74,2454,20,0.592,0.082,0.333,7,17.6,12.6,8.4,1.4,3.4,11,22.7,NA,5.6,3.4,9,0.175,NA,1.5,-0.2,1.3,2.1
"3",3,"Dwyane Wade",31,69,2391,24,0.571,0.06,0.389,4.7,12.6,8.9,26.6,2.8,1.9,13.2,29.5,NA,6.1,3.5,9.6,0.192,NA,3.7,0.7,4.4,3.8
"4",4,"Mario Chalmers",26,77,2068,13.3,0.576,0.569,0.212,1.2,8.6,5.1,19.4,3,0.5,17.1,16.1,NA,2.6,2.5,5.2,0.12,NA,-0.5,0.9,0.4,1.3
"5",5,"Ray Allen",37,79,2035,14.7,0.599,0.51,0.243,2.6,10.1,6.6,10.2,1.7,0.6,12.5,19.3,NA,3.4,1.9,5.4,0.126,NA,1.1,-0.8,0.3,1.2
"6",6,"Shane Battier",34,72,1786,10.7,0.623,0.873,0.105,2.7,8.4,5.7,5.7,1.2,2.5,8.2,11,NA,2.8,1.6,4.4,0.119,NA,0.9,0.1,1,1.4
"7",7,"Norris Cole",24,80,1590,7.9,0.483,0.231,0.188,1.5,8.2,5,15.2,1.9,0.4,18.4,17,NA,-0.8,1.4,0.6,0.019,NA,-4.3,-0.6,-4.9,-1.2
"8",8,"Udonis Haslem",32,75,1414,9.9,0.535,0,0.179,9,25.3,17.6,3.8,1.1,0.9,14.2,10.7,NA,1.2,2,3.2,0.108,NA,-2.6,-0.5,-3.2,-0.4
"9",9,"Mike Miller",32,59,900,13.5,0.596,0.758,0.048,2.6,18,10.7,16.2,1.2,0.4,12.9,14.4,NA,1.6,1,2.6,0.137,NA,1.8,-0.3,1.5,0.8
"10",10,"Rashard Lewis",33,55,792,11.1,0.53,0.526,0.181,3.1,15,9.4,5.7,1.4,1.4,10.9,18.2,NA,0.3,0.9,1.2,0.071,NA,-1.5,-1,-2.5,-0.1
"11",11,"Chris Andersen",34,42,624,17.4,0.631,0.024,0.756,11.9,21.5,17,4,1.4,5.8,12.8,14.4,NA,1.6,1.1,2.7,0.207,NA,-1,0.8,-0.2,0.3
"12",12,"Joel Anthony",30,62,566,10.4,0.542,0,0.412,10.4,14.4,12.5,3.1,1.2,6.1,21.5,8.6,NA,0.4,0.8,1.2,0.1,NA,-2.3,0.9,-1.3,0.1
"13",13,"James Jones",32,38,221,8.1,0.478,0.869,0.066,0,11.6,6.1,8.4,0.5,2.2,4.6,14.2,NA,0.1,0.2,0.2,0.054,NA,-2,-1,-3,-0.1
"14",14,"Juwan Howard",39,7,51,9.9,0.54,0,0.053,0,18.3,9.7,19.8,0,0,17.1,22,NA,0,0,0,0.039,NA,-7.3,-2,-9.3,-0.1
"15",15,"Jarvis Varnado",24,8,40,-4.1,0.333,0,0,3.3,14.6,9.2,6.5,0,4.1,62.5,9.6,NA,-0.1,0,-0.1,-0.122,NA,-13,-0.5,-13.5,-0.1
"16",16,"Josh Harrellson",23,6,31,8.5,0.506,0.556,0.222,12.6,15,13.9,0,1.7,2.6,23.3,19.9,NA,0,0,0,0.002,NA,-4.5,-1.4,-5.9,0
"17",17,"Terrel Harris",25,7,29,7.2,0.434,0.125,1,18,20.1,19.1,9.5,0,0,25.8,25.6,NA,0,0,0,-0.04,NA,-5.2,-4.6,-9.8,-0.1
"18",18,"Dexter Pittman",24,4,12,17,0.6,0,0,43.5,29.1,35.9,0,0,0,28.6,27.9,NA,0,0,0,0.114,NA,-6,-5.4,-11.3,0
