"","Rk","","Age","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","","OWS","DWS","WS","WS/48","","OBPM","DBPM","BPM","VORP"
"1",1,"Monta Ellis",27,82,3076,16.2,0.493,0.228,0.26,1.5,9.8,5.5,27.1,2.8,0.9,13.7,26.3,NA,1.2,3.3,4.6,0.071,NA,0.3,0.3,0.6,2.1
"2",2,"Brandon Jennings",23,80,2897,16.1,0.51,0.37,0.225,2.1,7.2,4.6,29.1,2.2,0.3,12.9,23.7,NA,3.6,2.2,5.8,0.096,NA,1.7,-0.6,1.1,2.2
"3",3,"Ersan İlyasova",25,73,2012,18.3,0.552,0.267,0.196,7.9,20.3,13.9,9.6,1.7,1.3,7.9,20.5,NA,4.1,2.5,6.7,0.159,NA,2,0,2,2
"4",4,"Mike Dunleavy",32,75,1943,13.6,0.577,0.479,0.205,1.7,14.9,8,11.5,1,1.3,11.7,17.3,NA,2.7,1.7,4.4,0.109,NA,0.5,-0.2,0.4,1.2
"5",5,"Larry Sanders",24,71,1937,18.7,0.523,0.003,0.225,12,25.8,18.6,6.8,1.4,7.6,11.6,16.9,NA,2.3,3.7,6,0.149,NA,-1.1,2,1,1.5
"6",6,"Luc Mbah a Moute",26,58,1326,9.1,0.447,0.098,0.334,7,14,10.4,6.1,1.6,0.8,13.9,16.5,NA,-0.8,1.2,0.5,0.017,NA,-3.5,-0.6,-4.1,-0.7
"7",7,"Ekpe Udoh",25,76,1312,12,0.503,0.004,0.442,8.9,11.7,10.3,4.7,1.5,4.7,11.8,12.1,NA,1.1,1.5,2.7,0.098,NA,-2.8,1.1,-1.7,0.1
"8",8,"Marquis Daniels",32,59,1085,9.2,0.432,0.205,0.154,4.6,10.5,7.4,9,2.4,0.7,10.7,16.9,NA,-0.6,1.1,0.5,0.023,NA,-3.5,0.6,-2.9,-0.2
"9",9,"John Henson",22,63,827,18.2,0.497,0.009,0.313,14.5,24.4,19.3,6.3,1.2,3.7,11,22.6,NA,0.6,1.2,1.9,0.109,NA,-0.7,-1,-1.7,0.1
"10",10,"J.J. Redick",28,28,804,11.9,0.529,0.507,0.205,1,6.1,3.5,14.8,0.6,0.4,9.2,19.4,NA,1,0.3,1.3,0.078,NA,-0.5,-1.5,-2,0
"11",11,"Samuel Dalembert",31,47,765,18.6,0.565,0.004,0.217,14.2,24.9,19.4,4.5,1.1,5.1,15.5,18.7,NA,0.9,1.2,2.2,0.137,NA,-0.8,0.2,-0.6,0.3
"12",12,"Beno Udrih",30,39,719,13.6,0.521,0.206,0.139,2.5,9.5,5.8,30.4,1.1,0.2,17.3,18.5,NA,0.6,0.4,1.1,0.07,NA,-0.4,-1.1,-1.4,0.1
"13",13,"Tobias Harris",20,28,325,13,0.538,0.183,0.226,5.4,13.7,9.4,6.4,1.2,1.6,12.5,19.4,NA,0.2,0.3,0.5,0.08,NA,-1.5,-0.6,-2.1,0
"14",14,"Doron Lamb",21,23,280,3,0.384,0.168,0.158,1.1,5.6,3.3,10.6,1.3,0,13.6,18.3,NA,-0.6,0.1,-0.4,-0.076,NA,-7.1,-1.8,-8.9,-0.5
"15",15,"Gustavo Ayón",27,12,163,16.6,0.539,0,0.286,12.7,26.7,19.4,11.6,2.8,1.8,16,15,NA,0.1,0.3,0.4,0.132,NA,-1.8,1.4,-0.5,0.1
"16",16,"Drew Gooden",31,16,151,7.7,0.382,0.082,0.262,8.9,13.3,11,6.1,1.7,2.9,11.7,22.2,NA,-0.3,0.2,-0.1,-0.034,NA,-6.1,-0.6,-6.7,-0.2
"17",17,"Ish Smith",24,16,138,12.1,0.442,0.233,0,0.8,11.3,5.8,32.7,2.9,1.6,18.9,16.7,NA,0,0.2,0.1,0.049,NA,-3,1.8,-1.2,0
"18",18,"Joel Przybilla",33,12,68,3.3,0.205,0,0.5,7.6,26.2,16.6,7.6,0.7,2.1,45,5.7,NA,-0.1,0.1,0,-0.005,NA,-7.4,0.1,-7.3,-0.1
