"","Rk","","Age","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","","OWS","DWS","WS","WS/48","","OBPM","DBPM","BPM","VORP"
"1",1,"Luke Ridnour",31,82,2474,13,0.532,0.261,0.202,1.8,7.9,4.8,21,1.7,0.5,12.8,18.3,NA,2.6,1.8,4.3,0.084,NA,-1,0.2,-0.8,0.8
"2",2,"Andrei Kirilenko",31,64,2034,17.6,0.59,0.214,0.446,5.6,15.1,10.2,14.4,2.4,2.4,15.1,17.4,NA,3.4,2.6,6,0.142,NA,1.8,1.8,3.5,2.9
"3",3,"Dante Cunningham",25,80,2010,13.3,0.485,0.009,0.154,7.8,15.6,11.6,5.7,2.2,1.5,7.3,17.2,NA,1.1,2.4,3.5,0.084,NA,-1.8,0.4,-1.4,0.3
"4",4,"Nikola Peković",27,62,1959,20.2,0.572,0,0.437,13,19,15.9,4.9,1.1,2,10.3,22.5,NA,4.6,2.1,6.7,0.163,NA,1.7,-1.2,0.5,1.2
"5",5,"Derrick Williams",21,78,1916,14.5,0.515,0.249,0.346,5.6,20.6,12.8,4.2,1.2,1.5,10,23.5,NA,1,2.1,3,0.076,NA,-0.5,-1,-1.5,0.2
"6",6,"Alexey Shved",24,77,1840,11,0.474,0.454,0.236,2.5,8.6,5.4,25.2,1.5,1.1,17.3,20.6,NA,-0.6,1.4,0.8,0.02,NA,-1.1,-0.6,-1.7,0.1
"7",7,"J.J. Barea",28,74,1713,14.1,0.51,0.369,0.177,2.2,11.9,6.9,30.6,1,0,15.1,25.1,NA,0.8,1,1.9,0.053,NA,0.7,-1.3,-0.6,0.6
"8",8,"Ricky Rubio",22,57,1691,16.2,0.482,0.179,0.514,2.9,12.9,7.7,38.8,4.2,0.2,21.4,21.2,NA,0.4,2.6,3,0.085,NA,-0.8,1.9,1.1,1.3
"9",9,"Greg Stiemsma",27,76,1209,10.5,0.498,0,0.248,5.6,19.5,12.3,3.9,1.9,5.8,16.1,13.6,NA,-0.3,2,1.7,0.069,NA,-5.1,2.3,-2.8,-0.3
"10",10,"Mickaël Gelabale",29,36,644,11.8,0.605,0.374,0.173,5.5,12.3,8.8,6.4,1.3,0.5,9.7,11.5,NA,1,0.5,1.5,0.114,NA,-0.6,0.4,-0.2,0.3
"11",11,"Kevin Love",24,18,618,17.9,0.458,0.309,0.477,11.5,35.9,23.3,11.8,1.1,1.1,9.8,28.9,NA,0.1,0.9,1.1,0.084,NA,1.4,-1,0.4,0.4
"12",12,"Chase Budinger",24,23,508,12.6,0.516,0.424,0.22,3.3,13,8,8.3,1.4,1.1,9.9,20.5,NA,0.3,0.4,0.7,0.066,NA,-0.6,-0.8,-1.4,0.1
"13",13,"Malcolm Lee",22,16,289,9.8,0.46,0.316,0.263,5.8,9.8,7.7,10.7,2.1,1.6,10.5,14.7,NA,0.1,0.3,0.4,0.059,NA,-2.4,1.1,-1.3,0
"14",14,"Chris Johnson",27,30,284,18.4,0.65,0,0.453,7.8,16.6,12.1,4.9,1.3,7.6,12.6,16.2,NA,0.6,0.4,1,0.176,NA,-1.2,2.8,1.6,0.3
"15",15,"Josh Howard",32,11,207,9.5,0.45,0.208,0.156,4.8,15.4,9.9,3.2,2.5,1.1,10.8,20,NA,-0.2,0.3,0,0.009,NA,-3.9,0.1,-3.8,-0.1
"16",16,"Lou Amundson",30,20,161,6.3,0.342,0,0.526,15.9,17.6,16.7,2.8,2.2,2.9,19,16.1,NA,-0.4,0.2,-0.1,-0.038,NA,-6.9,-1,-7.9,-0.2
"17",17,"Brandon Roy",28,5,122,8.3,0.368,0.257,0.286,2.7,10.6,6.6,28.8,1.3,0,15.1,17,NA,-0.1,0.1,0,-0.017,NA,-3.5,-0.8,-4.2,-0.1
"18",18,"Lazar Hayward",26,4,31,11.2,0.396,0.4,0.6,0,15.2,7.4,14.2,3.3,0,0,18.3,NA,0,0,0.1,0.087,NA,-3.7,1.8,-1.9,0
"19",19,"Will Conroy",30,4,20,-15.2,0.051,0.333,0.222,5.5,0,2.9,0,0,0,0,22.1,NA,-0.2,0,-0.2,-0.433,NA,-16.4,-8.5,-24.9,-0.1
