"","Rk","","Age","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","","OWS","DWS","WS","WS/48","","OBPM","DBPM","BPM","VORP"
"1",1,"Nikola Vučević",22,77,2559,17.8,0.534,0.003,0.142,12,28.4,20.2,9.3,1.2,2.4,13,19.3,NA,2.8,2.9,5.7,0.106,NA,0,-0.5,-0.5,0.9
"2",2,"Arron Afflalo",27,64,2307,13,0.527,0.265,0.246,1.4,10.3,5.8,14.6,0.9,0.4,12.1,22.5,NA,1.5,0.5,2,0.042,NA,-1.1,-1.8,-2.9,-0.5
"3",3,"Jameer Nelson",30,56,1977,14.4,0.498,0.455,0.131,1.3,10.6,6,33.3,1.9,0.2,15.7,22.5,NA,1.1,1,2.1,0.05,NA,0.1,-1.3,-1.2,0.4
"4",4,"Maurice Harkless",19,76,1974,12.5,0.504,0.207,0.227,7,12.2,9.6,3.9,2.3,2.4,10,15.9,NA,0.7,1.7,2.4,0.059,NA,-1.6,0.3,-1.3,0.4
"5",5,"E'Twaun Moore",23,75,1682,10.7,0.471,0.329,0.099,3.2,8,5.6,19.1,1.6,1.1,14.4,19.7,NA,-0.4,0.7,0.2,0.006,NA,-1.6,-0.7,-2.3,-0.1
"6",6,"J.J. Redick",28,50,1575,16.1,0.592,0.515,0.222,0.6,7.9,4.3,22.7,1,0.2,14.1,21.5,NA,3,0.2,3.2,0.097,NA,2.2,-1.8,0.4,0.9
"7",7,"Andrew Nicholson",23,75,1249,15.1,0.557,0,0.193,6.2,17.1,11.7,6.1,1,2,13,22.1,NA,0.9,0.8,1.7,0.065,NA,-1.8,-0.9,-2.7,-0.2
"8",8,"Glen Davis",27,34,1064,15,0.483,0.004,0.245,5.8,20.3,13.1,11.3,1.6,1.5,10.8,25.4,NA,-0.1,0.9,0.8,0.035,NA,-1.6,-0.3,-1.9,0
"9",9,"Tobias Harris",20,27,974,17,0.524,0.219,0.28,6.5,20.2,13.3,9.6,1.3,2.9,9.7,23.1,NA,1,0.9,1.9,0.092,NA,0.5,-0.5,0,0.5
"10",10,"DeQuan Jones",22,63,803,8.4,0.485,0.161,0.234,2.4,12.4,7.4,3,1.2,2.1,11.1,15.3,NA,-0.3,0.4,0.1,0.007,NA,-3.8,-0.8,-4.5,-0.5
"11",11,"Beno Udrih",30,27,738,14.9,0.512,0.223,0.294,2.6,7,4.8,34.2,1.8,0.1,17,20,NA,0.9,0.2,1.1,0.073,NA,0.4,-1.8,-1.3,0.1
"12",12,"Josh McRoberts",25,41,685,10.2,0.478,0.359,0.196,6.7,15.8,11.3,14.7,0.8,1.4,14.4,12.9,NA,0.4,0.3,0.7,0.051,NA,-1.9,0,-1.9,0
"13",13,"Kyle O'Quinn",22,57,638,15.8,0.535,0.005,0.228,11.5,25.5,18.5,13.1,0.9,3.1,14.6,18.1,NA,0.7,0.7,1.4,0.107,NA,-1.9,0.3,-1.6,0.1
"14",14,"Gustavo Ayón",27,43,571,11.7,0.54,0,0.304,7.9,19.8,13.8,15.5,1.2,1.8,21.1,14.3,NA,0.3,0.5,0.7,0.061,NA,-3.3,1.3,-2,0
"15",15,"Ish Smith",24,36,378,7.2,0.357,0.147,0.06,3.3,10.5,6.9,22.2,1.8,1.2,18.5,17.6,NA,-0.8,0.2,-0.6,-0.073,NA,-4.5,-0.7,-5.2,-0.3
"16",16,"Doron Lamb",21,24,297,6.5,0.498,0.309,0.279,1.9,9.1,5.5,5.8,1.1,0,11.6,13.2,NA,0,0.1,0.1,0.01,NA,-4.2,-1.5,-5.7,-0.3
"17",17,"Hedo Türkoğlu",33,11,189,3.4,0.288,0.453,0.113,2.4,13.2,7.8,17.2,1.9,0.4,17.7,16.3,NA,-0.6,0.1,-0.5,-0.116,NA,-7.5,-0.7,-8.2,-0.3
"18",18,"Al Harrington",32,10,119,10.3,0.434,0.526,0.07,5.7,19.9,12.8,13.7,1.8,0.6,10.6,25.1,NA,-0.1,0.1,0,-0.012,NA,-3,-1.5,-4.5,-0.1
