"","Rk","","Age","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","","OWS","DWS","WS","WS/48","","OBPM","DBPM","BPM","VORP"
"1",1,"Goran Dragić",26,77,2581,17.5,0.54,0.305,0.36,2.6,8,5.2,35.7,2.5,0.8,16.8,21.7,NA,4.1,1.6,5.7,0.106,NA,1.7,-0.3,1.4,2.2
"2",2,"Luis Scola",32,82,2184,16.7,0.516,0.017,0.251,8.1,20.4,14.1,14.5,1.6,1.2,11,23.3,NA,2.4,1.9,4.4,0.096,NA,-0.3,-0.2,-0.5,0.8
"3",3,"Jared Dudley",27,79,2170,14.9,0.582,0.405,0.242,4.1,8.9,6.4,14.9,1.8,0.3,12,17.2,NA,3.9,0.9,4.8,0.106,NA,1,-0.4,0.6,1.5
"4",4,"P.J. Tucker",27,79,1910,11.6,0.525,0.158,0.194,7.7,13.3,10.4,8.6,1.7,0.7,12.2,12.8,NA,1.8,1.2,2.9,0.074,NA,-1.3,-0.1,-1.5,0.2
"5",5,"Marcin Gortat",28,61,1876,15.4,0.543,0.005,0.244,7.6,24,15.6,6.5,1.1,3.9,13.6,17.2,NA,1.3,2.1,3.4,0.086,NA,-0.8,0.3,-0.5,0.7
"6",6,"Markieff Morris",23,82,1837,12.6,0.473,0.205,0.194,7.9,16.7,12.3,9.4,2.2,2.6,12.8,19.7,NA,-0.2,1.9,1.7,0.044,NA,-2.2,0.2,-1.9,0
"7",7,"Michael Beasley",24,75,1554,10.8,0.462,0.188,0.164,3.7,17.2,10.3,12.5,1,1.6,14.9,27.6,NA,-2.5,1,-1.5,-0.047,NA,-2.7,-2,-4.7,-1.1
"8",8,"Shannon Brown",27,59,1402,13.1,0.493,0.247,0.219,3.5,8.7,6,12.8,2.2,0.8,10.6,22.2,NA,0.4,0.8,1.2,0.041,NA,-1.1,-0.5,-1.6,0.2
"9",9,"Jermaine O'Neal",34,55,1029,16.7,0.538,0,0.31,8.9,23.8,16.2,6.8,0.9,5.7,14.8,21.4,NA,0.7,1.3,2,0.092,NA,-1.9,0.6,-1.3,0.2
"10",10,"Wesley Johnson",25,50,953,10.3,0.485,0.391,0.088,2.5,12.4,7.3,5.9,1.2,1.4,10.4,21.4,NA,-0.5,0.5,0,0,NA,-1.6,-1.7,-3.3,-0.3
"11",11,"Sebastian Telfair",27,46,795,10.9,0.505,0.457,0.231,1.7,8.2,4.9,21.9,1.8,0.9,16.3,18.2,NA,0.3,0.4,0.7,0.042,NA,-1.4,-0.3,-1.7,0.1
"12",12,"Kendall Marshall",21,48,702,7.8,0.455,0.483,0.093,0.6,6.3,3.4,29.4,1.6,0.4,26.6,13.6,NA,-0.4,0.2,-0.2,-0.012,NA,-3.5,-1.7,-5.2,-0.6
"13",13,"Marcus Morris",23,23,370,8.6,0.453,0.31,0.333,5.1,12.9,8.9,6.4,2.5,0.8,14.2,20.2,NA,-0.5,0.3,-0.2,-0.022,NA,-3.9,-0.5,-4.4,-0.2
"14",14,"Hamed Haddadi",27,17,235,11.2,0.479,0,0.41,15.6,26.7,21,5.2,1.1,6.7,27.3,18.7,NA,-0.4,0.4,0,0,NA,-6.7,0.2,-6.5,-0.3
"15",15,"Diante Garrett",24,19,149,9,0.375,0.306,0.204,3.7,7.8,5.7,31.3,3.4,0,23.1,20.7,NA,-0.3,0.1,-0.2,-0.073,NA,-3.6,-0.9,-4.4,-0.1
"16",16,"Luke Zeller",25,16,58,5.6,0.365,0.192,0,1.9,18,9.8,8.4,0,0,0,19.9,NA,-0.1,0,-0.1,-0.047,NA,-4.1,-3,-7.2,-0.1
