"","Rk","","Age","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","","OWS","DWS","WS","WS/48","","OBPM","DBPM","BPM","VORP"
"1",1,"Damian Lillard",22,82,3167,16.4,0.546,0.391,0.249,1.5,8,4.7,28.8,1.2,0.5,14.5,24.2,NA,5.1,0.7,5.8,0.088,NA,2.1,-1.9,0.3,1.8
"2",2,"Nicolas Batum",24,73,2807,15.7,0.566,0.533,0.252,4,13.2,8.5,20.3,1.7,2.2,17,18.2,NA,3.8,1.9,5.8,0.099,NA,2.3,0.5,2.8,3.4
"3",3,"LaMarcus Aldridge",27,74,2790,20.4,0.53,0.011,0.264,7.2,20.9,14,13,1.2,2.5,8.9,26.5,NA,4.8,2.3,7.2,0.124,NA,1.7,-0.4,1.3,2.3
"4",4,"Wesley Matthews",26,69,2403,14.1,0.574,0.526,0.231,1.7,7.6,4.6,11.8,2,0.6,10.9,19.1,NA,3.6,1,4.7,0.093,NA,0.7,-0.2,0.5,1.5
"5",5,"J.J. Hickson",24,80,2323,19.7,0.591,0.003,0.36,13.2,28.5,20.7,6.6,1.1,1.7,14.4,19.9,NA,4.6,2.3,6.9,0.142,NA,1.3,-1.1,0.2,1.3
"6",6,"Meyers Leonard",20,69,1206,12.1,0.596,0.025,0.321,7.6,17.1,12.3,4.3,0.5,2.4,13.4,13.9,NA,1.8,0.7,2.4,0.097,NA,-2.7,-0.6,-3.3,-0.4
"7",7,"Will Barton",22,73,894,9.1,0.437,0.21,0.21,4.6,14.3,9.4,10.4,2,0.8,15.1,20.4,NA,-1.1,0.6,-0.5,-0.028,NA,-4,-0.6,-4.6,-0.6
"8",8,"Victor Claver",24,49,812,7,0.462,0.46,0.159,4.4,12.8,8.5,7.9,1.7,1.1,17.5,13.9,NA,-0.6,0.5,-0.1,-0.005,NA,-3.6,0,-3.7,-0.3
"9",9,"Luke Babbitt",23,62,730,9.4,0.509,0.761,0.056,2.4,19.7,10.9,6.2,1,0.5,8.4,16.4,NA,0.3,0.4,0.7,0.047,NA,-1.7,-0.7,-2.4,-0.1
"10",10,"Eric Maynor",25,27,572,10.6,0.508,0.301,0.247,0.8,4.9,2.8,30,1.1,0.1,20.7,18.6,NA,0.2,0,0.2,0.016,NA,-1.6,-2.7,-4.2,-0.3
"11",11,"Sasha Pavlović",29,39,528,6.2,0.423,0.504,0.05,1.5,10.9,6.2,8.9,2.4,0.7,10.3,11.8,NA,-0.3,0.4,0.1,0.009,NA,-4.9,1.6,-3.3,-0.2
"12",12,"Ronnie Price",29,39,510,6.8,0.402,0.325,0.2,2.9,7.2,5,21,2.7,0.4,20.7,14.8,NA,-0.5,0.3,-0.2,-0.017,NA,-5.4,0.5,-4.9,-0.4
"13",13,"Joel Freeland",25,51,477,9.3,0.435,0,0.19,9.6,19.5,14.5,4.3,1.4,1.7,11,16.6,NA,-0.2,0.4,0.2,0.022,NA,-4.7,-0.7,-5.4,-0.4
"14",14,"Jared Jeffries",31,38,350,2.4,0.343,0.037,0.426,8.5,11.4,10,5.6,0.9,1.3,21,10.6,NA,-0.4,0.1,-0.3,-0.042,NA,-6.8,-0.7,-7.4,-0.5
"15",15,"Nolan Smith",24,40,288,7.1,0.435,0.246,0.246,2.8,8.2,5.5,19.9,1.3,0.3,18.7,24.7,NA,-0.6,0.1,-0.5,-0.082,NA,-4.7,-2.3,-6.9,-0.4
