"","Rk","","Age","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","","OWS","DWS","WS","WS/48","","OBPM","DBPM","BPM","VORP"
"1",1,"DeMarcus Cousins",22,75,2289,20.2,0.524,0.021,0.408,10.9,27,18.7,15.3,2.4,1.9,15.5,28.1,NA,2,2.3,4.4,0.092,NA,0.7,-0.5,0.2,1.2
"2",2,"Jason Thompson",26,82,2285,14.6,0.533,0.004,0.277,8.4,19.5,13.8,6,1.1,2.1,10.8,18.2,NA,2.7,0.9,3.6,0.075,NA,-1,-1.6,-2.6,-0.3
"3",3,"John Salmons",33,76,2278,10.2,0.509,0.436,0.18,1.6,9,5.2,14.8,1.1,0.9,11.4,14.5,NA,1.8,-0.1,1.6,0.034,NA,-1.1,-1.5,-2.5,-0.3
"4",4,"Isaiah Thomas",23,79,2122,17.5,0.574,0.386,0.345,1.5,7.3,4.4,24.6,1.6,0.1,12.7,23,NA,5.2,-0.1,5,0.114,NA,2.5,-2,0.5,1.3
"5",5,"Tyreke Evans",23,65,2016,18.1,0.558,0.174,0.354,3.1,13.5,8.2,19,2.3,1,12.6,22.3,NA,3.6,0.8,4.4,0.105,NA,2,-0.2,1.8,1.9
"6",6,"Marcus Thornton",25,72,1726,16.3,0.552,0.49,0.163,3.2,9,6,9,1.8,0.2,7.6,23.1,NA,3.1,0.1,3.2,0.089,NA,2.3,-2,0.3,1
"7",7,"Chuck Hayes",29,74,1209,10.7,0.469,0.005,0.253,10.5,18.2,14.2,13.1,1.3,1.2,17.2,9.4,NA,1.1,0.4,1.5,0.06,NA,-1.2,-0.2,-1.4,0.2
"8",8,"Jimmer Fredette",23,69,967,14.6,0.546,0.381,0.242,2.2,6.4,4.2,15.9,1.6,0.2,13.1,23.9,NA,1.1,-0.1,1.1,0.052,NA,1.1,-2.5,-1.3,0.2
"9",9,"Aaron Brooks",28,46,959,12.1,0.562,0.419,0.172,1.4,8.1,4.7,17.8,1.5,0.6,16.2,18,NA,0.9,0,0.9,0.045,NA,-0.7,-1.4,-2.1,0
"10",10,"James Johnson",25,54,878,10.2,0.442,0.074,0.237,6.2,12.9,9.5,10.2,2.4,4.5,17.9,19.3,NA,-1.1,0.6,-0.5,-0.028,NA,-3.9,0.3,-3.5,-0.3
"11",11,"Thomas Robinson",21,51,809,10.6,0.45,0,0.292,12.7,21.3,16.9,6.8,1.6,2,19.2,18.6,NA,-0.7,0.5,-0.2,-0.01,NA,-3.7,-1.9,-5.6,-0.7
"12",12,"Francisco García",31,40,710,10.5,0.488,0.532,0.068,1.1,10.1,5.5,9,2.3,3.4,8.7,14.5,NA,0.2,0.4,0.6,0.04,NA,-1.1,0.6,-0.6,0.3
"13",13,"Patrick Patterson",23,24,556,14.5,0.554,0.214,0.083,8.1,16.1,12,8.6,1.2,1.8,9.8,15.4,NA,0.9,0.2,1,0.09,NA,0.5,-1.1,-0.6,0.2
"14",14,"Travis Outlaw",28,38,444,13,0.5,0.282,0.294,4.3,11.7,7.9,7.7,1.3,1.4,8.7,21.9,NA,0.3,0.1,0.3,0.037,NA,-0.5,-1.9,-2.4,0
"15",15,"Toney Douglas",26,22,376,16,0.558,0.474,0.14,3.3,11.6,7.3,23.8,4.2,0.2,17.1,17.3,NA,0.6,0.3,0.9,0.11,NA,-0.2,1.9,1.8,0.4
"16",16,"Cole Aldrich",24,15,175,15.7,0.598,0,0.297,11.5,30.4,20.7,2.6,0.6,6.3,17.7,12.9,NA,0.2,0.2,0.4,0.109,NA,-1,0.5,-0.5,0.1
"17",17,"Tyler Honeycutt",22,9,32,1.9,0.337,0.182,0.182,10.5,25.8,18,9.1,0,2.4,29.6,23.4,NA,-0.2,0,-0.1,-0.22,NA,-8.4,-4.8,-13.2,-0.1
