"","Rk","","Age","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","","OWS","DWS","WS","WS/48","","OBPM","DBPM","BPM","VORP"
"1",1,"Danny Green",25,80,2201,14.1,0.6,0.623,0.119,2,10.3,6.4,9.5,2.1,1.8,11.9,16.6,NA,2.6,3.2,5.9,0.128,NA,1.4,1.4,2.8,2.7
"2",2,"Tony Parker",30,66,2174,23,0.588,0.068,0.332,1,9.1,5.3,40.4,1.3,0.2,13,27.7,NA,7.1,2.3,9.3,0.206,NA,4.1,-0.5,3.6,3.1
"3",3,"Tim Duncan",36,69,2078,24.4,0.554,0.007,0.307,7.3,29.6,19.1,15.5,1.2,6.4,11.7,27.8,NA,3.4,4.9,8.3,0.191,NA,2.4,2.9,5.3,3.8
"4",4,"Tiago Splitter",28,81,1997,18.7,0.609,0.004,0.506,8.8,20.3,14.9,10,1.6,2.3,12.7,18.2,NA,4.7,3.5,8.2,0.197,NA,0.8,1.3,2.2,2.1
"5",5,"Kawhi Leonard",21,58,1810,16.4,0.592,0.331,0.24,4.3,17.1,11.1,7.7,2.7,1.3,9.6,16.4,NA,3,3.3,6.2,0.166,NA,1.1,2,3.1,2.3
"6",6,"Boris Diaw",30,75,1709,11.9,0.603,0.235,0.196,4.7,12,8.6,15,1.6,1.1,18.9,12,NA,2.2,2.3,4.4,0.124,NA,-0.7,1.5,0.8,1.2
"7",7,"Gary Neal",28,68,1484,11.5,0.512,0.42,0.124,1.1,9.6,5.6,13.5,1,0.1,9.9,21.7,NA,0.4,1.5,1.9,0.06,NA,-1.2,-0.9,-2,0
"8",8,"Manu Ginóbili",35,60,1393,19,0.56,0.436,0.382,2.6,13.4,8.3,30.6,2.9,0.7,17.3,25.2,NA,2.1,2.4,4.5,0.155,NA,2.1,1.5,3.6,2
"9",9,"Stephen Jackson",34,55,1075,8,0.473,0.515,0.212,2.5,13.5,8.3,10.7,1.8,0.9,17.6,18.7,NA,-1.2,1.5,0.3,0.013,NA,-3.6,0.1,-3.5,-0.4
"10",10,"Nando De Colo",25,72,920,11.1,0.53,0.34,0.183,3.1,13.7,8.7,21.6,2.3,0.5,23.7,17.1,NA,0,1.4,1.3,0.07,NA,-2.4,1.2,-1.2,0.2
"11",11,"Matt Bonner",32,68,909,11.8,0.609,0.522,0.065,3.4,12.5,8.2,5.8,1,1.5,6.3,12.8,NA,1.4,1.1,2.5,0.133,NA,-0.2,0.4,0.2,0.5
"12",12,"DeJuan Blair",23,61,851,14.6,0.543,0.004,0.258,9.5,21.1,15.6,8.3,2.2,0.9,14,19,NA,0.7,1.5,2.2,0.126,NA,-2.4,0.8,-1.6,0.1
"13",13,"Patty Mills",24,58,656,14.1,0.59,0.539,0.079,1.7,6.8,4.4,14.9,2,0.4,13.5,20.2,NA,0.7,0.8,1.5,0.109,NA,0,0.2,0.2,0.4
"14",14,"Cory Joseph",21,28,388,13.5,0.528,0.191,0.191,3.8,11.3,7.7,20.2,2,0.7,15,16.6,NA,0.4,0.5,0.9,0.113,NA,-1.2,0.8,-0.4,0.2
"15",15,"Aron Baynes",26,16,141,8.8,0.521,0.028,0.333,10.4,15.5,13.1,5.2,0.4,3.1,21,17.1,NA,0,0.2,0.1,0.05,NA,-6.4,-0.6,-7,-0.2
"16",16,"James Anderson",23,10,94,13,0.587,0.44,0.36,3.9,12.8,8.6,13.9,1.6,1.5,19.5,17.6,NA,0.1,0.1,0.2,0.109,NA,-0.4,0.8,0.4,0.1
