"","Rk","","Age","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","","OWS","DWS","WS","WS/48","","OBPM","DBPM","BPM","VORP"
"1",1,"DeMar DeRozan",23,82,3013,14.7,0.523,0.097,0.347,1.9,10.9,6.3,12,1.3,0.6,9.6,24.2,NA,3.1,1.6,4.7,0.075,NA,-0.2,-1.2,-1.4,0.4
"2",2,"Amir Johnson",25,81,2325,17.3,0.591,0.021,0.309,11.4,20,15.6,8.7,1.9,3.8,14.5,16.1,NA,4.4,2.9,7.3,0.151,NA,0,1,1,1.8
"3",3,"Kyle Lowry",26,68,2020,17.5,0.543,0.448,0.384,3.2,15.9,9.5,34.6,2.5,1,17.7,20.3,NA,3.5,2.1,5.6,0.133,NA,2,0.9,2.9,2.5
"4",4,"Alan Anderson",30,65,1495,12.6,0.509,0.463,0.239,2.7,9.2,5.9,11.7,1.7,0.4,10.5,23.6,NA,0.8,0.8,1.6,0.052,NA,-0.5,-1.3,-1.8,0.1
"5",5,"Jonas Valančiūnas",20,62,1482,15.6,0.619,0,0.505,9.6,20.5,14.9,5,0.6,4.2,17.4,16.9,NA,2.5,1.5,3.9,0.127,NA,-1.1,0,-1.2,0.3
"6",6,"José Calderón",31,45,1273,19.2,0.594,0.462,0.131,1.3,8.7,5,43.7,1.2,0.4,15.1,18.1,NA,4,0.5,4.4,0.167,NA,5,-1.4,3.6,1.8
"7",7,"Terrence Ross",21,73,1239,10.4,0.491,0.429,0.092,3.3,10.6,6.9,7.2,1.8,0.9,9.2,19.6,NA,0,0.8,0.9,0.034,NA,-1.7,-0.7,-2.5,-0.1
"8",8,"Rudy Gay",26,33,1146,17.6,0.513,0.232,0.246,4.4,17.8,11,15.3,2.6,1.5,13.1,29.1,NA,0.3,1.4,1.6,0.068,NA,1.5,0.3,1.9,1.1
"9",9,"Ed Davis",23,45,1087,18.1,0.57,0,0.301,10.2,22.8,16.4,8.8,1.2,2.8,10.5,18.3,NA,2.1,1.2,3.3,0.147,NA,0.7,-0.3,0.4,0.6
"10",10,"Landry Fields",24,51,1037,10.3,0.487,0.063,0.238,6.7,17.4,11.9,8.9,1.6,0.6,14.6,12.9,NA,0.3,0.8,1.1,0.052,NA,-1.8,0,-1.8,0.1
"11",11,"Andrea Bargnani",27,35,1003,11.2,0.482,0.289,0.181,3,12.3,7.6,6.6,1.1,1.8,10.5,23.8,NA,-0.5,0.6,0.1,0.007,NA,-1.1,-1.6,-2.7,-0.2
"12",12,"John Lucas III",30,63,827,12.8,0.483,0.452,0.075,1.1,8.3,4.7,21.5,1.5,0.1,7,20.8,NA,0.7,0.3,1.1,0.061,NA,0.6,-1.2,-0.6,0.3
"13",13,"Aaron Gray",28,42,513,9,0.544,0,0.489,10.9,20,15.4,9.9,0.7,0.8,24.8,13.1,NA,0.2,0.4,0.5,0.05,NA,-3.9,-0.4,-4.3,-0.3
"14",14,"Mickaël Piétrus",30,19,386,6,0.472,0.653,0.184,1.5,9.7,5.5,3.5,1.7,1.2,13.1,14.7,NA,-0.3,0.2,0,-0.004,NA,-3.8,-0.9,-4.8,-0.3
"15",15,"Linas Kleiza",28,20,376,8.2,0.46,0.458,0.264,3.1,13.5,8.2,6.9,0.6,0.4,8,21.6,NA,-0.1,0.2,0.1,0.013,NA,-3,-2.4,-5.4,-0.3
"16",16,"Quincy Acy",22,29,342,15.9,0.632,0.027,0.507,10.3,16.6,13.4,5.2,2,3.5,15.6,14.7,NA,0.7,0.4,1.1,0.157,NA,-1,1,0.1,0.2
"17",17,"Dominic McGuire",27,15,230,7.5,0.462,0,0.188,5.6,19.5,12.4,6.4,1.2,2.8,16.8,8.4,NA,0,0.2,0.2,0.045,NA,-3.8,1,-2.8,0
"18",18,"Sebastian Telfair",27,13,185,10.7,0.416,0.597,0.194,0.6,9.8,5.1,32.5,2.6,0.4,14.1,19.6,NA,0,0.1,0.1,0.029,NA,-1.8,0.1,-1.7,0
