"","Rk","","Age","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","","OWS","DWS","WS","WS/48","","OBPM","DBPM","BPM","VORP"
"1",1,"Al Jefferson",28,78,2578,20.9,0.522,0.014,0.176,7,25.9,16.3,12,1.6,2.7,7.3,25.3,NA,4.3,3.3,7.7,0.143,NA,2.2,0.1,2.4,2.8
"2",2,"Paul Millsap",27,78,2375,19.8,0.55,0.045,0.407,8.6,18.8,13.7,14.5,2.3,2.7,11.8,22.4,NA,4.8,2.9,7.6,0.154,NA,1.7,1,2.7,2.8
"3",3,"Randy Foye",29,82,2249,11.7,0.55,0.588,0.195,0.9,5.8,3.3,11.7,1.5,0.9,10.3,18.1,NA,2.8,0.9,3.7,0.08,NA,0.1,-0.7,-0.6,0.8
"4",4,"Gordon Hayward",22,72,2104,16.8,0.564,0.318,0.38,2.8,9.8,6.3,16.7,1.5,1.4,11.7,22.1,NA,4.2,1.2,5.4,0.123,NA,2.5,-0.5,2,2.1
"5",5,"Derrick Favors",21,77,1787,17.5,0.533,0.009,0.458,11.9,24,17.9,6.8,2,5.7,15.9,20.6,NA,1.5,2.9,4.4,0.117,NA,-1.6,1.1,-0.5,0.7
"6",6,"Marvin Williams",26,73,1727,10.9,0.515,0.353,0.211,3.7,14.3,8.9,6.9,1.1,1.7,10.5,15.1,NA,1.1,1.1,2.3,0.063,NA,-0.8,-0.4,-1.2,0.4
"7",7,"Mo Williams",30,46,1418,14.4,0.519,0.289,0.159,2,7.2,4.5,33.2,1.7,0.5,18,22.3,NA,1.2,0.7,1.8,0.062,NA,0.9,-1.7,-0.9,0.4
"8",8,"Jamaal Tinsley",34,66,1221,10.6,0.467,0.543,0.111,1.6,9.5,5.5,34.1,2.8,0.9,30.2,13.1,NA,-0.2,1,0.9,0.035,NA,-1.8,0.3,-1.5,0.2
"9",9,"Alec Burks",21,64,1137,11.5,0.507,0.237,0.332,3.8,11.2,7.5,13,1.6,0.9,14.3,20.7,NA,0.3,0.7,1,0.044,NA,-1.9,-0.7,-2.6,-0.2
"10",10,"DeMarre Carroll",26,66,1111,15.5,0.535,0.216,0.302,9.1,10.8,9.9,8.7,2.8,1.7,8.5,16.4,NA,2,1.1,3.1,0.134,NA,0.4,0.9,1.3,0.9
"11",11,"Enes Kanter",20,70,1078,17.6,0.588,0.003,0.309,14.5,18.6,16.5,5,1.4,2.3,19,22.4,NA,1.2,1,2.3,0.101,NA,-0.7,-1.4,-2.1,0
"12",12,"Earl Watson",33,48,829,7.7,0.366,0.233,0.208,3.2,9.1,6.1,31.8,2.5,0.8,34.5,11,NA,-0.6,0.7,0,0.001,NA,-3.9,0.4,-3.5,-0.3
"13",13,"Jeremy Evans",25,37,215,19.9,0.641,0.023,0.75,14,17.6,15.8,8,2,4.8,12,14.1,NA,0.7,0.3,0.9,0.208,NA,0.9,1.3,2.2,0.2
"14",14,"Kevin Murphy",22,17,52,-4.5,0.268,0.179,0,0,9.1,4.5,6.1,1,0,9.7,27.1,NA,-0.3,0,-0.3,-0.272,NA,-11.4,-5.4,-16.8,-0.2
