"","Rk","","Age","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","","OWS","DWS","WS","WS/48","","OBPM","DBPM","BPM","VORP"
"1",1,"Martell Webster",26,76,2200,13.9,0.601,0.517,0.311,2.7,12.2,7.4,10.7,1.2,0.6,11.1,16.9,NA,3.9,2.4,6.3,0.138,NA,0.5,0.3,0.8,1.6
"2",2,"Emeka Okafor",30,79,2052,15.8,0.496,0,0.278,10.7,26.8,18.7,7.9,1.1,3,12.2,19.5,NA,0.7,3.7,4.5,0.104,NA,-1,0.3,-0.7,0.7
"3",3,"Bradley Beal",19,56,1745,13.6,0.515,0.344,0.231,2.7,10.8,6.7,13.7,1.5,1.3,10.6,22.2,NA,1,2,3,0.082,NA,0,0.2,0.2,1
"4",4,"Kevin Séraphin",23,79,1721,10.3,0.478,0,0.123,6.8,15.5,11.1,6.1,0.7,2.7,14.7,23.5,NA,-2.1,2.2,0.1,0.004,NA,-4.9,-0.7,-5.5,-1.5
"5",5,"Nenê Hilário",30,61,1659,17,0.538,0.002,0.453,6.7,20.6,13.6,19,1.7,1.8,16.3,23.4,NA,1.3,2.7,4,0.116,NA,-0.4,1.7,1.3,1.3
"6",6,"John Wall",22,49,1602,20.8,0.521,0.061,0.416,2.4,11.2,6.8,43.9,2.1,1.8,15.3,29.3,NA,2.2,2.2,4.5,0.134,NA,2.7,1.1,3.9,2.4
"7",7,"Trevor Ariza",27,56,1471,14,0.538,0.463,0.211,3.3,16.9,10,12.7,2.5,1.1,14.6,17.9,NA,0.7,2.4,3.1,0.102,NA,0.1,2,2.1,1.6
"8",8,"A.J. Price",26,57,1278,12.4,0.501,0.484,0.15,1.7,8.2,4.9,26.4,1.3,0.2,12.7,18,NA,1,1.2,2.2,0.084,NA,-0.2,-0.4,-0.6,0.5
"9",9,"Garrett Temple",26,51,1156,8.8,0.478,0.31,0.143,2.8,9.1,5.9,15.5,2.3,1.2,18.2,13.2,NA,-0.3,1.5,1.2,0.049,NA,-3.8,1.5,-2.3,-0.1
"10",10,"Jordan Crawford",24,43,1127,14.7,0.512,0.337,0.209,3,10.3,6.6,25.5,1.2,0.4,14.9,26.4,NA,0.2,1.1,1.4,0.058,NA,1.3,-0.8,0.5,0.7
"11",11,"Chris Singleton",23,57,924,7.8,0.425,0.149,0.29,6.1,16.1,11,6.3,2.1,2.1,14.2,15.7,NA,-1,1.5,0.5,0.028,NA,-5.6,1.3,-4.3,-0.6
"12",12,"Trevor Booker",25,48,887,13.9,0.509,0.023,0.327,12.2,17.8,14.9,7.4,1.9,1.4,11,14.5,NA,0.9,1.4,2.3,0.126,NA,-1.5,0.6,-1,0.2
"13",13,"Cartier Martin",28,41,694,9.7,0.511,0.579,0.111,1.7,14.3,8,4.8,1.4,0.7,10.8,19.5,NA,-0.2,0.9,0.7,0.047,NA,-1.6,-0.5,-2.1,0
"14",14,"Jan Veselý",22,51,601,7.6,0.48,0.009,0.342,7.9,14.7,11.3,7.3,1.3,2.2,17.1,12,NA,-0.1,0.8,0.7,0.059,NA,-5.6,1,-4.7,-0.4
"15",15,"Shaun Livingston",27,17,320,7.4,0.434,0.045,0.227,0.7,12.2,6.4,18.1,1.8,0.5,19,12.8,NA,-0.2,0.4,0.2,0.028,NA,-5.4,1.6,-3.9,-0.1
"16",16,"Shelvin Mack",22,7,141,10.4,0.453,0.325,0.05,2.3,10.3,6.3,26.3,2.2,0,16.4,15.8,NA,0,0.2,0.2,0.052,NA,-2.9,1.2,-1.7,0
"17",17,"Earl Barron",31,11,122,6.9,0.357,0,0.135,14.4,24.7,19.5,3.9,2.1,3.2,20.3,18.4,NA,-0.3,0.3,-0.1,-0.025,NA,-8.3,-0.5,-8.9,-0.2
"18",18,"Jannero Pargo",33,7,102,0.2,0.319,0.625,0.063,0,6.6,3.3,21,0,0.8,19.6,18.3,NA,-0.3,0.1,-0.3,-0.129,NA,-7.4,-3,-10.5,-0.2
"19",19,"Jason Collins",34,6,54,2.9,0.291,0,0.333,2,14.5,8.2,5.2,1.9,5.9,22.5,7.5,NA,-0.1,0.1,0,0.016,NA,-8.9,3.7,-5.2,0
