"","last_name","first_name","team","PER","WS.48","BPM","VORP"
"1","Horford","Al","ATL",19.8,0.153,1.9,2.7
"2","Smith","Josh","ATL",17.7,0.075,1.8,2.5
"3","Teague","Jeff","ATL",16.8,0.111,0.3,1.5
"4","Korver","Kyle","ATL",13.9,0.137,1.8,2.2
"5","Harris","Devin","ATL",14.6,0.111,0.1,0.8
"6","Stevenson","DeShawn","ATL",8.1,0.061,-2.4,-0.1
"7","Pachulia","Zaza","ATL",13.1,0.116,-1.7,0.1
"8","Williams","Lou","ATL",15.9,0.103,1,0.9
"9","Johnson","Ivan","ATL",15.7,0.106,-1.6,0.1
"10","Tolliver","Anthony","ATL",8.4,0.059,-3.1,-0.3
"11","Jenkins","John","ATL",13,0.091,-0.8,0.3
"12","Jones","Dahntay","ATL",5.4,0.015,-6.6,-0.4
"13","Scott","Mike","ATL",16.3,0.11,-3.5,-0.1
"14","Petro","Johan","ATL",11,0.048,-5,-0.3
"15","Morrow","Anthony","ATL",12.3,0.1,-0.8,0.1
"16","Mack","Shelvin","ATL",12.3,0.068,-2.8,-0.1
"17","Pargo","Jannero","ATL",9.7,0.041,-3.9,0
"18","Tyler","Jeremy","ATL",8.5,0.122,-3.2,0
"19","Pierce","Paul","BOS",19.1,0.135,3.6,3.6
"20","Green","Jeff","BOS",15,0.099,-0.3,1
"21","Bass","Brandon","BOS",12.3,0.101,-1.9,0.1
"22","Terry","Jason","BOS",12.8,0.091,-0.2,1
"23","Garnett","Kevin","BOS",19.2,0.133,2.6,2.3
"24","Lee","Courtney","BOS",11.7,0.082,-0.5,0.7
"25","Bradley","Avery","BOS",8.8,0.012,-3.7,-0.6
"26","Rondo","Rajon","BOS",18.1,0.108,2.2,1.5
"27","Sullinger","Jared","BOS",13.5,0.146,-1.9,0
"28","Wilcox","Chris","BOS",15.3,0.181,0,0.4
"29","Crawford","Jordan","BOS",12,0.041,-3.6,-0.2
"30","Barbosa","Leandro","BOS",13.5,0.086,-0.7,0.2
"31","Collins","Jason","BOS",3,0.049,-7,-0.4
"32","Williams","Terrence","BOS",12.3,0.046,-2.4,0
"33","Randolph","Shavlik","BOS",15.9,0.159,-3.5,-0.1
"34","White","D.J.","BOS",14.7,0.117,-0.9,0
"35","Melo","Fab","BOS",4.9,0.021,-7.6,-0.1
"36","Joseph","Kris","BOS",-3.2,-0.275,-17.1,-0.1
"37","Varnado","Jarvis","BOS",12.8,0.083,-0.4,0
"38","Miličić","Darko","BOS",-30.2,-0.779,-38.3,0
"39","Williams","Deron","BRK",20.3,0.184,3.8,4.2
"40","Johnson","Joe","BRK",14.1,0.092,0,1.3
"41","Lopez","Brook","BRK",24.7,0.191,3.2,3
"42","Wallace","Gerald","BRK",11.6,0.072,0.7,1.3
"43","Evans","Reggie","BRK",12.8,0.105,-1.7,0.1
"44","Blatche","Andray","BRK",21.9,0.153,2.2,1.6
"45","Watson","C.J.","BRK",13.9,0.12,0.9,1.1
"46","Bogans","Keith","BRK",6.7,0.047,-2.6,-0.2
"47","Humphries","Kris","BRK",13.6,0.109,-3,-0.3
"48","Brooks","MarShon","BRK",13.5,0.068,-1.7,0.1
"49","Stackhouse","Jerry","BRK",8.5,0.037,-3.3,-0.2
