"","id","first_name","last_name","team","PER","WS.48","BPM","VORP"
"1",219,"Al","Horford","ATL",19.8,0.153,1.9,2.7
"2",1541,"Josh","Smith","ATL",17.7,0.075,1.8,2.5
"3",435,"Jeff","Teague","ATL",16.8,0.111,0.3,1.5
"4",262,"Kyle","Korver","ATL",13.9,0.137,1.8,2.2
"5",195,"Devin","Harris","ATL",14.6,0.111,0.1,0.8
"6",1298,"DeShawn","Stevenson","ATL",8.1,0.061,-2.4,-0.1
"7",361,"Zaza","Pachulia","ATL",13.1,0.116,-1.7,0.1
"8",481,"Lou","Williams","ATL",15.9,0.103,1,0.9
"9",1949,"Ivan","Johnson","ATL",15.7,0.106,-1.6,0.1
"10",446,"Anthony","Tolliver","ATL",8.4,0.059,-3.1,-0.3
"11",2007,"John","Jenkins","ATL",13,0.091,-0.8,0.3
"12",1514,"Dahntay","Jones","ATL",5.4,0.015,-6.6,-0.4
"13",410,"Mike","Scott","ATL",16.3,0.11,-3.5,-0.1
"14",1614,"Johan","Petro","ATL",11,0.048,-5,-0.3
"15",1823,"Anthony","Morrow","ATL",12.3,0.1,-0.8,0.1
"16",291,"Shelvin","Mack","ATL",12.3,0.068,-2.8,-0.1
"17",1413,"Jannero","Pargo","ATL",9.7,0.041,-3.9,0
"18",1931,"Jeremy","Tyler","ATL",8.5,0.122,-3.2,0
"19",1168,"Paul","Pierce","BOS",19.1,0.135,3.6,3.6
"20",188,"Jeff","Green","BOS",15,0.099,-0.3,1
"21",1599,"Brandon","Bass","BOS",12.3,0.101,-1.9,0.1
"22",1242,"Jason","Terry","BOS",12.8,0.091,-0.2,1
"23",971,"Kevin","Garnett","BOS",19.2,0.133,2.6,2.3
"24",271,"Courtney","Lee","BOS",11.7,0.082,-0.5,0.7
"25",59,"Avery","Bradley","BOS",8.8,0.012,-3.7,-0.6
"26",400,"Rajon","Rondo","BOS",18.1,0.108,2.2,1.5
"27",1978,"Jared","Sullinger","BOS",13.5,0.146,-1.9,0
"28",1422,"Chris","Wilcox","BOS",15.3,0.181,0,0.4
"29",1892,"Jordan","Crawford","BOS",12,0.041,-3.6,-0.2
"30",1476,"Leandro","Barbosa","BOS",13.5,0.086,-0.7,0.2
"31",1348,"Jason","Collins","BOS",3,0.049,-7,-0.4
"32",1858,"Terrence","Williams","BOS",12.3,0.046,-2.4,0
"33",1645,"Shavlik","Randolph","BOS",15.9,0.159,-3.5,-0.1
"34",1836,"D.J.","White","BOS",14.7,0.117,-0.9,0
"35",2025,"Fab","Melo","BOS",4.9,0.021,-7.6,-0.1
"36",1979,"Kris","Joseph","BOS",-3.2,-0.275,-17.1,-0.1
"37",2023,"Jarvis","Varnado","BOS",12.8,0.083,-0.4,0
"38",1495,"Darko","Miličić","BOS",-30.2,-0.779,-38.3,0
"39",1601,"Deron","Williams","BRK",20.3,0.184,3.8,4.2
"40",1364,"Joe","Johnson","BRK",14.1,0.092,0,1.3
"41",283,"Brook","Lopez","BRK",24.7,0.191,3.2,3
"42",1343,"Gerald","Wallace","BRK",11.6,0.072,0.7,1.3
"43",1435,"Reggie","Evans","BRK",12.8,0.105,-1.7,0.1
"44",1643,"Andray","Blatche","BRK",21.9,0.153,2.2,1.6
"45",1788,"C.J.","Watson","BRK",13.9,0.12,0.9,1.1
"46",1507,"Keith","Bogans","BRK",6.7,0.047,-2.6,-0.2
"47",1535,"Kris","Humphries","BRK",13.6,0.109,-3,-0.3
"48",67,"MarShon","Brooks","BRK",13.5,0.068,-1.7,0.1
"49",946,"Jerry","Stackhouse","BRK",8.5,0.037,-3.3,-0.2
"50",2015,"Mirza","Teletović","BRK",12.3,0.087,-1.3,0.1
"51",2014,"Tyshawn","Taylor","BRK",6.2,-0.077,-7.4,-0.3
"52",1542,"Josh","Childress","BRK",7,0.029,-3.3,0
"53",2013,"Tornike","Shengelia","BRK",8.5,-0.017,-6.5,-0.1
"54",1979,"Kris","Joseph","BRK",3.7,-0.008,-4.1,0
"55",1884,"Damion","James","BRK",0,0,14,0
"56",124,"Luol","Deng","CHI",15.1,0.105,0.8,2
"57",1410,"Carlos","Boozer","CHI",17.1,0.108,-0.1,1.2
"58",1771,"Joakim","Noah","CHI",18.1,0.145,3.4,3.3
"59",79,"Jimmy","Butler","CHI",15.2,0.158,2,2.1
"60",1622,"Nate","Robinson","CHI",17.4,0.136,2.8,2.5
"61",40,"Marco","Belinelli","CHI",10.4,0.076,-2.3,-0.1
"62",1505,"Kirk","Hinrich","CHI",10.8,0.085,-0.9,0.5
"63",173,"Taj","Gibson","CHI",14.4,0.109,-1.1,0.3
"64",1245,"Richard","Hamilton","CHI",10.6,0.016,-4,-0.6
"65",1154,"Nazr","Mohammed","CHI",10.8,0.082,-3.6,-0.3
"66",1997,"Marquis","Teague","CHI",6,-0.031,-5.6,-0.4
"67",1758,"Daequan","Cook","CHI",4,-0.048,-6.8,-0.3
"68",1341,"Vladimir","Radmanović","CHI",6.3,0.02,-5.4,-0.1
"69",1961,"Malcolm","Thomas","CHI",16.7,0.166,0.2,0
"70",1735,"Lou","Amundson","CHI",0,-0.274,-22.8,0
"71",465,"Kemba","Walker","CHA",18.8,0.08,1.4,2.4
"72",48,"Bismack","Biyombo","CHA",10.1,0.031,-4.4,-1.3
"73",1845,"Gerald","Henderson","CHA",16.4,0.073,-1.1,0.5
"74",3078,"Gerald","Henderson","CHA",16.4,0.073,-1.1,0.5
"75",255,"Michael","Kidd-Gilchrist","CHA",14,0.051,-2.6,-0.3
"76",1791,"Ramon","Sessions","CHA",17.7,0.084,-0.4,0.7
"77",1562,"Ben","Gordon","CHA",12.7,-0.018,-3.4,-0.6
"78",2011,"Jeffery","Taylor","CHA",10.3,0.039,-3.6,-0.6
"79",1866,"Byron","Mullens","CHA",12.3,0.005,-3.4,-0.5
"80",1391,"Brendan","Haywood","CHA",8.7,0.006,-6,-1.2
"81",1782,"Josh","McRoberts","CHA",14.8,0.09,-0.9,0.2
"82",1889,"Jeff","Adrien","CHA",13.4,0.064,-3,-0.2
"83",1607,"Hakim","Warrick","CHA",11.3,-0.007,-5.1,-0.4
