"","id","first_name","height_feet","height_inches","last_name","position","weight_pounds","team.id","team.abbreviation","team.city","team.conference","team.division","team.full_name","team.name"
"1",14,"Ike",NA,NA,"Anigbogu","C",NA,12,"IND","Indiana","East","Central","Indiana Pacers","Pacers"
"2",25,"Ron",NA,NA,"Baker","G",NA,20,"NYK","New York","East","Atlantic","New York Knicks","Knicks"
"3",47,"Jabari",NA,NA,"Bird","G",NA,2,"BOS","Boston","East","Atlantic","Boston Celtics","Celtics"
"4",67,"MarShon",NA,NA,"Brooks","G",NA,15,"MEM","Memphis","West","Southwest","Memphis Grizzlies","Grizzlies"
"5",71,"Lorenzo",NA,NA,"Brown","G",NA,28,"TOR","Toronto","East","Atlantic","Toronto Raptors","Raptors"
"6",90,"Omri",NA,NA,"Casspi","F",NA,15,"MEM","Memphis","West","Southwest","Memphis Grizzlies","Grizzlies"
"7",1,"Alex",6,6,"Abrines","G",200,21,"OKC","Oklahoma City","West","Northwest","Oklahoma City Thunder","Thunder"
"8",119,"Tyler",NA,NA,"Davis","C",NA,21,"OKC","Oklahoma City","West","Northwest","Oklahoma City Thunder","Thunder"
"9",149,"Keenan",NA,NA,"Evans","G",NA,9,"DET","Detroit","East","Central","Detroit Pistons","Pistons"
"10",179,"Marcin",NA,NA,"Gortat","C",NA,13,"LAC","LA","West","Pacific","LA Clippers","Clippers"
"11",1593,"Andrew",NA,NA,"Bogut","F",NA,10,"GSW","Golden State","West","Pacific","Golden State Warriors","Warriors"
"12",241,"Amir",6,9,"Johnson","C-F",240,23,"PHI","Philadelphia","East","Atlantic","Philadelphia 76ers","76ers"
"13",256,"George",6,6,"King","F",220,24,"PHX","Phoenix","West","Pacific","Phoenix Suns","Suns"
"14",281,"Zach",NA,NA,"Lofton","G",NA,9,"DET","Detroit","East","Central","Detroit Pistons","Pistons"
"15",263,"Kosta",7,0,"Koufos","C",245,26,"SAC","Sacramento","West","Pacific","Sacramento Kings","Kings"
"16",348,"James",NA,NA,"Nunnally","F",NA,18,"MIN","Minnesota","West","Northwest","Minnesota Timberwolves","Timberwolves"
"17",382,"Billy",NA,NA,"Preston","F",NA,6,"CLE","Cleveland","East","Central","Cleveland Cavaliers","Cavaliers"
